Label_FR,État: paiements pour des prestations,État: subventions aux assurances sociales,Ménages: primes LAMal,Ménages: primes LCA,Ménages: autres financements,"Ménages: participation aux frais (LAMal et LCA) et ""out-of-pocket""",Entreprises: cotisations aux assurances sociales,Entreprises: financement privé,Source de financement inconnue
1995,5337.60745529894,4478.27368189496,8244.34241928049,4352.44837889374,255.139756355639,10878.6396027053,1866.98708501978,333.377224235681,693.675740994329
1996,5576.88088418926,4224.83880380413,9578.21927095225,4649.37369884486,206.47987030198,11198.3018315329,1911.81214203859,306.395477084177,532.718575127619
1997,5512.18344507936,4559.78120369178,9880.75209600915,4393.17930228473,253.546039814767,11339.2105687795,1982.59214736957,340.310316690342,664.759045141402
1998,5555.40860227614,4798.09460817965,10437.9764587016,4510.42826477187,269.017911493824,11708.4350216087,2123.15188053779,356.548251294199,708.92960487123
1999,5834.05851429606,5083.406597605,10725.2167133083,4293.32095964246,312.293935854322,11983.2853432072,2225.74294987137,397.097296125166,839.22365163643
2000,6016.3587325716,5210.10062148984,11437.1516508738,4498.7076217261,309.810592689319,12465.5571943659,2302.22176238976,402.424932214934,811.592215655774
2001,7100.86595105716,5467.06601164212,12114.9268571093,4633.57261760743,315.867427422457,12859.243526543,2414.30519318359,413.664385494727,823.639710421413
2002,7951.037297496,5803.25335859273,12818.8085446743,4536.11043719738,336.558703970749,12914.0074409046,2396.14353954899,433.816936959397,812.85245459027
2003,8250.46756790627,6039.08673823645,13582.4939990646,4631.79312970033,316.440957267513,13268.1779981501,2550.01693681149,425.381120658701,743.753653681081
2004,8125.31101534513,6424.63310723123,14400.1603482473,4756.54345030455,338.616434878123,13798.1386654609,2644.89877662083,443.82370676349,816.078627093257
2005,8239.73305786845,6679.1275327069,15285.0017328711,5214.54383781666,185.559965740867,13744.7816710607,2808.02068807345,349.658324339927,317.260098479332
2006,8165.36309886889,6778.52300076861,15434.512263887,5397.63471205048,249.487697132583,13847.5575880233,2729.4178508819,401.179344666939,497.961029349288
2007,8566.35907271045,7233.82833245052,16114.2620911119,5729.02995024927,232.313232828643,14509.4094617611,2750.38929658032,402.580314039876,419.722577377018
2008,10283.3841079371,7148.41584404723,17152.6942327853,5845.22728114839,238.360993323167,14825.1733396204,2744.28859007761,429.520970955309,384.947242900862
2009,11186.113802617,7032.98341856864,17890.166430074,5994.937456877,237.637275812526,15247.7092518424,3221.12631093799,427.223012477423,417.580395479741
2010,12196.6405,7457.93478417469,17933.4038802844,6021.153873,571.0696,15016.6802,2759.49939018202,575.1077,530.836045358867
2011,12935.6764,7768.32774483965,19397.6058807609,6310.401097,590.6698,15131.3471,2713.28927393949,533.6644,593.9534
2012,14317.3236,7715.87715741748,21858.5774117435,6419.698866,560.8071,15535.1424,2773.62180206898,566.8406,837.5505
2013,14441.877,7824.34661518288,22358.5296599229,6513.95124,713.2369,15792.2612,3005.92942012421,749.826,720.9628
2014,14772.3585,7878.00055225579,22376.7936337456,6377.782724,634.6919,16068.4514,3041.6292121986,731.8251,1086.3947
2015,15128.223,8094.26454403936,23210.9988597106,6467.994203,688.0139,16170.0683,3118.20509732412,786.083,1017.11059892596
2016,15718.428,8348.54874155171,24557.9973136252,6678.957477,663.1484,16153.1336,3254.92004608304,744.4193,1263.1021
2017,16251.517,8533.15011944193,25828.9822589403,6850.962623,691.2357,16787.2524,3230.10504332779,756.1407,1137.014
2018,16239.6411,8758.36455021342,26809.4419561784,6973.553045,721.2919,17293.2941,3362.5104377682,899.0484,1633.1653
2019,16650.9369,9078.36947986577,27143.3094922235,6892.511243,637.9197,17843.9223,3594.8109233307,898.018,1159.9845
2020,18803.6534,9629.77822395583,27123.8746340483,7026.505935,689.407,17309.3463,3537.79675221585,1244.2508,773.9301
2021,20206.4175,9513.24292018178,27401.7277531466,7088.127249,717.9434,19030.7521,3546.58808453001,1087.4263,2031.9300421416
2022,20518.3778,9457.78291863744,27770.0216775478,7122.202787,752.4519,19951.4985,3526.12678045219,1260.7619,2789.33442336256
2023,18827.1162,10143.4215296402,29472.7490705215,7257.505115,801.8708,20695.2191,3825.83716872317,1316.7807,2588.15013111509
