"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",788.509,12.674,0.106,0,0,0.013,0.207,0.02,3462.073,25.294,7.016,5.089,0.556,18.633,6.072,10.272,0.503,0.143,0.12,1.248,1.188,0.847,2.031,0.061,0.004,0.181,4.188,7.272,1.372,17.54,279.694,4.171,9.132,0.449,1.936,0.512,276.294,2.029,0.819,1.391,2.581,7.926,12.356,10.961,45.874,7.761,22.219,16.876,15.406,0,3375.21,0.043,2.564,143.904,-0.743,50.564,74.455,66.359,-1648.436,7155.539
"TTL_A02",7.004,65.676,0.007,0,0,0.021,0.178,0.009,9.981,0.183,168.924,24.288,0.111,2.025,0.473,1.392,0.329,0.076,0.092,0.481,0.248,0.178,0.558,0.015,0.002,0.033,6.918,4.758,0.079,7.4,10.222,0.621,0.421,0.088,0.288,0.133,4.932,0.162,0.091,0.159,0.219,2.06,0.573,0.512,1.959,0.29,0.337,0.406,0.607,0,76.179,0,0.076,0.518,0.33,1.479,0.727,110.937,-40.562,475.204
"TTL_A03",0.172,0.006,0.02,0,0,0,0.006,0.001,6.444,0.014,0.02,0.027,0.026,0.072,0.061,0.013,0.017,0.007,0.005,0.034,0.112,0.057,0.089,0.004,0,0.009,0.041,0.083,0.009,0.103,0.937,0.071,0.828,0.015,0.043,0.029,2.148,0.038,0.051,0.124,0.136,0.03,0.288,0.091,0.16,0.034,0.088,0.06,0.074,0,44.299,0,0.202,1.803,-0.024,2.808,0.762,8.39,-49.356,21.581
"TTL_B05",0.317,0.012,0,0,0,0.014,0.152,0.011,0.294,0.043,0.111,0.317,9.424,1.033,0.035,0.037,1.705,3.091,0.578,0.183,0.078,0.059,0.185,0.004,0,0.018,0.081,113.111,0.049,0.661,0.505,0.121,0.048,0.007,0.022,0.021,0.108,0.012,0.02,0.025,0.203,0.13,0.123,0.069,0.53,0.108,0.049,0.058,0.101,0,81.589,0,0.004,0.313,0,0.077,0,0,-215.846,0
"TTL_B06",0.546,0.016,0.001,0,0,0.059,0.502,0.236,2.253,0.268,0.225,1.083,552.527,10.465,0.549,0.413,3.479,1.676,1.125,0.953,0.641,0.805,2.196,0.048,0.002,0.101,0.622,375.921,0.289,2.431,6.472,1.349,0.809,0.092,0.23,0.239,0.664,0.139,0.125,0.183,0.475,0.537,1.1,0.516,1.008,0.332,0.399,0.323,0.362,0,296.952,0.002,11.368,10.645,0,0.688,0,0,-1294.441,0
"TTL_B07",0.416,0.01,0,0,0,3.594,2.049,1.035,1.907,0.038,0.059,0.21,14.29,30.089,0.777,0.251,10.788,93.84,107.51,11.808,2.09,4.261,10.671,0.064,0.004,0.172,1.197,30.842,0.722,17.755,3.06,0.656,0.109,0.041,0.182,0.068,0.604,0.069,0.071,0.122,0.292,1.017,1.472,0.445,0.365,0.049,0.09,0.42,0.442,0,0.823,0.001,0.015,0.415,0,0.114,0.055,22.299,-298.393,81.355
"TTL_B08",8.67,0.312,0.024,0,0,0.498,53.705,0.77,17.055,0.401,0.674,6.659,6.759,97.065,2.488,1.58,274.674,13.504,8.857,6.238,2.727,5.056,9.598,0.074,0.005,0.189,11.104,49.226,5.724,472.34,14.821,4.783,0.506,0.039,2.093,0.144,3.008,0.207,0.151,0.282,0.338,10.002,3.701,1.479,11.105,0.251,0.438,1.42,1.374,0,61.942,0.002,0.033,1.183,0.051,0.159,0.027,72.05,-343.005,904.555
"TTL_B09",0.192,0.018,0.001,0,0,0.148,1.1,0.247,0.347,0.02,0.04,0.113,10.835,0.675,0.071,0.064,0.701,0.035,0.03,0.19,0.239,0.139,0.329,0.008,0.001,0.029,0.234,4.954,0.114,4.231,2.032,0.562,0.767,0.314,0.245,0.107,0.177,0.121,0.218,0.33,0.55,1.022,0.839,0.553,0.358,0.051,0.075,0.185,0.168,0,3.893,0.001,3.82,104.679,0,0.127,0.056,13.064,-17.923,141.498
"TTL_C10T12",675.938,1.91,0.701,0,0,0.047,0.866,0.125,4235.641,14.734,2.127,13.35,4.275,85.829,31.386,4.076,2.609,0.7,0.787,5.488,11.17,5.802,13.281,0.265,0.014,0.783,6.879,21.482,3.97,14.614,623.151,12.972,83.644,11.348,9.551,4.799,2509.518,11.068,11.098,20.123,35.002,13,62.412,41.53,162.125,44.733,117.866,83.328,71.572,0,12363.587,0.022,1.615,21.099,7.22,177.675,252.805,2706.13,-3660.831,20957.015
"TTL_C13T15",10.324,0.969,0.243,0,0,0.074,1.108,0.149,17.664,564.491,6.769,30.546,1.679,21.224,5.863,33.296,7.94,0.871,0.881,13.588,23.674,14.738,27.136,5.357,0.116,4.903,116.143,8.832,5.432,67.943,252.578,11.95,27.659,3.081,5.426,8.187,54.744,10.093,3.943,5.159,11.417,11.317,35.194,26.291,76.119,7.178,31.468,30.699,40.756,0,3095.51,0.045,0.222,15.935,0.155,95.462,30.413,1568.732,-3948.982,2502.705
"TTL_C16",25.131,7.296,0.083,0,0,0.404,4.021,0.616,58.042,4.238,1201.018,90.063,2.091,22.189,7.17,13.028,33.286,4.445,4.97,61.834,35.036,40.762,69.669,5.165,0.708,11.575,625.074,45.85,5.159,1605.756,265.642,19.081,8.282,1.185,14.888,4.291,21.201,14.222,5.161,8.994,9.991,408.389,50.344,32.041,26.941,7.771,6.41,24.266,33.691,0,267.781,0.074,0.243,15.652,1.237,8.269,10.938,381.228,-824.52,4808.373
"TTL_C17_18",11.21,1.456,0.043,0,0,0.169,2.81,0.238,227.914,10.952,19.982,1272.524,7.176,58.149,31.107,18.779,25.043,2.373,2.46,30.248,79.529,48.91,59.644,1.8,0.056,4.246,36.6,45.817,12.142,48.056,956.963,32.532,24.174,8.254,21.176,61.46,55.473,635.67,70.978,129.769,483.053,61.548,418.834,212.387,218.329,62.398,32.206,103.656,146.901,0,1548.291,0.521,1.611,17.254,7.74,22.711,30.014,1508.797,-1796.468,7135.663
"TTL_C19",49.896,8.876,0.262,0,0,0.922,11.701,1.22,32.532,3.416,8.1,12.817,199.372,115.66,5.929,7.824,20.704,13.073,4.784,16.84,16.028,16.908,27.066,0.947,0.048,2.674,18.885,408.018,18.906,125.629,328.227,408.604,449.184,159.651,30.371,29.784,24.463,5.964,13.161,12.935,38.372,31.153,47.256,52.749,83.589,9.308,13.71,16.12,20.209,0,928.569,0.008,0.863,21.678,0.455,25.994,22.199,199.285,-1739.039,2383.861
"TTL_C20",406.592,9.912,0.11,0,0,2.216,22.317,2.299,192.76,89.912,108.47,386.552,223.682,2364.796,258.825,664.361,122.191,24.572,27.926,212.756,260.844,281.775,274.248,11.731,0.635,14.992,149.214,126.237,44.058,351.075,461.544,34.04,36.034,6.873,13.652,7.548,62.719,59.331,9.321,29.893,40.779,189.864,181.687,107.824,111.038,24.011,123.77,52.075,113.062,0,673.799,0.02,4.296,37.677,11.433,16.753,14.172,4893.818,-2205.985,11746.108
