"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"TTL_A01",1.16759,0.03568,0.03263,0,0.00345,0.00413,0.00447,0.00248,0.24406,0.01761,0.00705,0.00556,0.00439,0.01873,0.00827,0.00856,0.00411,0.00421,0.00423,0.00296,0.00286,0.00415,0.00326,0.00379,0.00076,0.00395,0.00516,0.00605,0.00536,0.00361,0.00733,0.00479,0.01164,0.00616,0.00573,0.004,0.07227,0.00486,0.00237,0.00266,0.00178,0.0017,0.00401,0.00524,0.00377,0.00705,0.00522,0.01224,0.00667,0
"TTL_A02",0.00289,1.16255,0.00097,0,0.00115,0.00149,0.00154,0.00065,0.00259,0.00116,0.07538,0.00655,0.00117,0.00211,0.00082,0.00363,0.00224,0.00146,0.00147,0.00107,0.00067,0.00126,0.00094,0.00112,0.00045,0.00118,0.00773,0.00407,0.00126,0.00449,0.00107,0.00114,0.0015,0.00142,0.00149,0.00085,0.0014,0.00096,0.00054,0.00049,0.00034,0.00172,0.00073,0.00082,0.00058,0.00089,0.00045,0.00132,0.00112,0
"TTL_A03",0.00104,0.00015,1.00656,0,5e-05,6e-05,7e-05,4e-05,0.00396,0.00013,6e-05,8e-05,7e-05,0.00024,1e-04,8e-05,6e-05,6e-05,6e-05,4e-05,4e-05,6e-05,5e-05,5e-05,2e-05,6e-05,6e-05,7e-05,7e-05,5e-05,9e-05,7e-05,0.00041,1e-04,0.00011,6e-05,0.00148,7e-05,3e-05,4e-05,3e-05,2e-05,5e-05,8e-05,6e-05,1e-04,7e-05,0.00018,1e-04,0
"TTL_B05",0.00024,0.00018,0.00013,1,0.00043,0.00058,0.00054,0.00017,0.00029,0.00018,0.00019,0.00039,0.00122,0.00057,0.00013,0.00037,0.00067,0.00154,0.00078,0.00029,0.00013,0.00025,0.00021,0.00019,5e-05,0.00024,0.00018,0.00376,0.00037,0.00019,0.00015,3e-04,0.00023,0.00019,0.00025,0.00019,0.00023,0.00015,0.00014,1e-04,7e-05,0.00011,0.00012,0.00013,0.00011,0.00021,8e-05,0.00027,2e-04,0
"TTL_B06",0.00168,0.00143,0.00109,0,1.00437,0.00351,0.00361,0.00127,0.00194,0.00123,0.00132,0.0025,0.10882,0.00527,0.001,0.00248,0.00367,0.00477,0.00425,0.00163,0.00088,0.00161,0.00129,0.00126,0.00029,0.00153,0.00129,0.02058,0.00238,0.00119,0.00109,0.00278,0.00337,0.00329,0.00209,0.00162,0.00147,0.00104,0.00085,0.00063,0.00047,0.00068,0.00084,0.00104,0.00076,0.00128,0.00054,0.00168,0.00124,0
"TTL_B07",0.00029,3e-04,0.00016,0,0.00073,1.00936,0.00219,0.00077,0.00038,0.00023,0.00034,0.00038,0.00149,0.00129,0.00022,0.00066,0.00212,0.02228,0.04614,0.00364,0.00071,0.00284,0.00186,0.00127,0.00034,0.00181,0.00102,0.00122,0.00097,0.0011,0.00023,0.00035,0.00047,0.00041,0.00035,0.00022,0.00022,0.00019,0.00019,0.00016,9e-05,0.00026,0.00021,0.00021,0.00015,0.00019,1e-04,0.00028,0.00022,0
"TTL_B08",0.00267,0.00214,0.00134,0,0.00346,0.00932,1.0624,0.00509,0.00272,0.0013,0.00161,0.00255,0.01078,0.01308,0.00135,0.00357,0.08803,0.02107,0.01379,0.00349,0.00135,0.00315,0.00229,0.0021,0.00054,0.00234,0.00235,0.00863,0.00375,0.01882,0.00116,0.00177,0.00229,0.00162,0.002,0.00122,0.00156,0.00099,0.00086,0.00066,0.00049,0.00352,0.00104,0.00115,0.00106,0.00123,0.00059,0.00154,0.00122,0
"TTL_B09",2e-05,2e-05,2e-05,0,0.00024,8e-05,0.00015,1.00023,3e-05,2e-05,2e-05,2e-05,0.00016,4e-05,2e-05,2e-05,7e-05,5e-05,6e-05,2e-05,2e-05,3e-05,2e-05,2e-05,1e-05,3e-05,2e-05,7e-05,3e-05,3e-05,2e-05,3e-05,6e-05,5e-05,4e-05,3e-05,2e-05,3e-05,2e-05,2e-05,1e-05,1e-05,3e-05,2e-05,1e-05,2e-05,1e-05,3e-05,2e-05,0
"TTL_C10T12",0.37942,0.03064,0.15983,0,0.01206,0.01424,0.01611,0.00849,1.53968,0.03978,0.01376,0.02081,0.01741,0.07863,0.03052,0.02095,0.01419,0.01432,0.01513,0.01005,0.00983,0.01429,0.01101,0.01197,0.0025,0.01315,0.01567,0.01738,0.01862,0.01077,0.02487,0.01638,0.05249,0.02364,0.02153,0.01515,0.33935,0.02082,0.0088,0.01049,0.00666,0.00581,0.01323,0.01854,0.01418,0.03151,0.02055,0.05612,0.02654,0
"TTL_C13T15",0.00812,0.01088,0.01554,0,0.00936,0.01241,0.01026,0.00664,0.00987,1.36191,0.00952,0.02108,0.0083,0.01475,0.00764,0.02633,0.01378,0.01063,0.00975,0.00803,0.00667,0.01022,0.00853,0.01759,0.00272,0.01232,0.04237,0.01206,0.01389,0.00902,0.01031,0.0092,0.01301,0.01278,0.01055,0.01348,0.0113,0.00867,0.00449,0.00435,0.00299,0.00352,0.00778,0.01218,0.00933,0.00946,0.00629,0.02576,0.01597,0
