"Country","SCP","GIN","DCB","GOV","PCT","CCR","ABC","ABP","BSS","LPS","CSR","LBR","ATX","BEN","FDI","TRF","TFS","TRD","Telec_struc","Elec_struc","Gas_struc","Post_struc","Rail_struc","Hstat","LernerIndex","StateControl","Taxes","HealthGDP","EducGDP","MilitaryGDP","Finalcons","HealthGOV","EducGOV","MilitaryGOV","Int_rate","Inf_rate","Fin_reg","LLR","FinOpen","Liq","PrimAgri","PrimIndus","SecManuf","SecConst","Ter_Serv","Ter_FIRE","Tradeglobfacto","Finglobfacto","Tradeglobjure","Finglobjure","Socglobfacto","Socglobjure","Polglobfacto","Polglobjure","IUCN","GreenP","EnvConflicts","ClassGHG","EnvReg","EnvTreaties","EnfEnvReg","EnerGDP","GHGGdp","MatGDP","MatEmb","EnerEmb","CO2Emb","EnerfootGDP","CO2footGDP","MatfootGDP","Wshare","DistProf","Labprotec","CollBarg","Unions","Unemp","IncomeIneq","WorkingHours","Gender"
"Australia",2.85,2.17,1.03,5.63,0.84,1.08,0.8,0.8,1.15,4,0.55,1.47,1.43,2.75,0.77,0,0,0,1.6,0,0,3,3,0.31,0.17,1.94,22.1,6.1,5.32,1.96,18.1,16.65,14.08,5.22,2.26,1.51,1389,0.54,0.94,1874,0.02,0.1,0.07,0.09,0.5,0.22,239,785,839,678,868,800,908,911,1.28,0.213,0.7,5.5,5.7,24,5.7,0.1,408,0.7,-131.2,-9.1,1.9,0.11,348.18,1.09,58.8,15,1.9,50.6,15,6.1,0.3,34,13
"Austria",3,2.78,1.03,2.25,0.37,1.78,1.8,0.2,4.04,2,0.05,0.2,0,2.47,0.63,0,0.35,1.4,1.36,0,1.5,2,0,0.71,0.55,1.67,26.8,7.8,5.45,0.71,19.9,15.1,10.7,1.37,-0.02,0.9,1654,2.65,1,2971,0.01,0.03,0.18,0.06,0.56,0.15,699,907,911,737,871,864,939,973,0.59,0.115,0.7,3.4,6.2,25,6.1,0.079,190,0.42,56.9,8.4,25.9,0.09,241.95,1.15,63.7,16.8,2.4,98,27.4,5.7,0.3,35,17
"Belgium",2.6,2.59,1.16,3,1.17,2.92,2.2,1,4.4,2,0.94,1.5,0,2.52,0.24,0,0.5,0,1.51,1.5,0,2,3,0.68,0.17,2.19,24.7,8.6,6.55,0.92,23.9,16.02,12.17,1.71,-0.02,0.56,1869,2.88,1,2081,0.01,0.03,0.13,0.06,0.63,0.15,932,936,880,818,826,899,926,990,1.16,0.846,0.4,3.6,5.5,26,5.2,0.104,231,0.29,53.7,-81.4,-1.4,0.13,188.22,0.9,66.8,15.9,3,96,54.2,8.5,0.3,35,4.7
"Brazil",2.64,1.77,2.29,4,2.53,2.17,3.6,2,3.43,6,1.57,2.07,0,3.44,0.61,4,0.8,3.55,1.93,0,6,3,6,0.74,0.01,2.51,12.8,3.8,6.24,1.36,19.7,7.66,16.25,3.57,14.25,9.03,1636,20.4,0.17,6135,0.05,0.07,0.14,0.06,0.53,0.15,191,501,479,285,453,766,955,676,0.1,0.017,0.5,14.4,4.7,24,3.7,0.125,439,1.47,-13.8,4.6,12.1,0.11,237.15,2.48,50.3,21.1,1.7,70.5,19.5,8.4,0.5,39,16
"Canada",2.6,1.92,0.59,3.75,1.95,1.3,0,0.2,3.75,2,0.57,0.69,0.65,2.95,1.04,0,1.84,1.17,1.57,3,0,2,1.5,0.81,0.39,1.92,12.3,7.7,5.27,1.16,20.9,19.07,12.22,2.87,0.82,1.13,142,4.69,1,3762,0.02,0.1,0.11,0.07,0.52,0.19,365,841,859,748,888,842,933,937,0.62,0.253,0.7,6.8,5,19,5,0.151,400,0.58,13.7,3.8,3.5,0.14,319.14,1.32,63.4,16,1.5,30.6,28.6,6.9,0.3,35,18.6
"Chile",2.47,1.79,0.96,3.75,2.39,1.5,1.2,0.8,1.37,6,1.5,0.47,0,3.11,0.34,0,0.1,1.26,1.3,0,0.75,1,4.5,0.81,0.4,2.1,17.5,4.9,4.87,1.91,13.2,19.58,19.59,7.62,4.94,4.35,1262,0.52,0.7,1929,0.04,0.14,0.11,0.08,0.43,0.05,382,769,772,643,581,819,853,913,0.17,0.039,2.8,8.5,4.7,22,4.7,0.136,433,2.77,-188.5,5.5,8.2,0.13,333.69,2.81,44.8,25.3,1.8,17.6,17.9,6.5,0.5,42,21.1
"China",6,4.44,3.16,3,3.06,2.9,4.2,4.6,3.53,4.67,2.63,0.93,0,3.94,2.74,2,1.59,1.22,0,3.75,0,2,6,0.57,0.26,3.57,9.4,3.2,5.3,1.93,14,10.11,16.0859,6.09,4.8,1.44,1345,2.21,0.17,1638,0.1,0.07,0.3,0.07,0.33,0.13,276,485,606,173,507,525,949,923,0.02,0.005,0.1,9.6,4.1,23,3.8,0.366,1679,3.65,-7.5,-7.7,-16.2,0.26,1028.39,4.58,56.7,-9,3,40.6,44.9,4.6,0.5,45,43
"Czechia",3.22,3.31,0.63,4.5,0.94,1.16,1.8,0.8,3.72,4,0.97,0.2,0,2.39,0.06,0,0.1,1.5,1.34,0.75,3,1,0,0.61,0.42,1.98,14.6,6,5.79,0.95,19.2,14.31,13.88,2.28,0.31,0.31,1668,0,1,2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.086,0.1,3.1,5.2,25,4.4,0.181,564,0.74,30.5,5.5,-4.4,0.16,472.06,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",2.3,2.76,0.52,5.63,0.63,1.45,1.2,0,2.69,2,0.57,0.8,0.57,2.22,0.2,0,0.4,1.2,1.4,0.75,1.5,3,1.5,0.48,0.5,1.92,33.9,8.7,7.6,1.12,25.6,15.85,13.83,2.04,-0.12,0.45,1963,0.01,1,4449,0.02,0.05,0.13,0.04,0.59,0.17,735,917,884,752,865,901,887,974,1.77,0.617,0.5,3.1,5.8,30,6,0.047,145,0.37,39.3,21.2,37.5,0.08,173.22,0.67,66.1,14.1,2.3,84,68.6,6.2,0.3,34,5.8
"Estonia",1.8,3.72,0.41,1.5,0.6,2.1,1.6,0.6,3.28,4,0.11,0.21,0,2.17,0.11,0,1.01,1.72,1.74,3.75,4.5,4,3,0.7,0.24,1.61,1.4,4.9,5.22,2.05,20.3,12.16,12.97,5.11,-0.02,-0.49,2801,0.15,1,3556,0.03,0.06,0.15,0.06,0.55,0.14,896,848,901,729,739,914,722,857,1.52,0,0.8,4.1,5.4,27,5.3,0.235,773,1.56,-37.4,-9.6,-28.8,0.24,973.95,1.39,61,13,2.1,18.6,4.5,6.2,0.3,38,28.3
"Finland",3.11,3.03,2.7,3,0.91,1.7,1.2,1.2,2.83,2.67,0.59,0.9,0,2.89,0.11,0,0.69,0,0.98,0,6,6,4.5,0.77,0.09,2.13,20.7,7.3,7.09,1.46,24.4,12.83,12.46,2.57,-0.02,-0.21,2309,1.96,1,5862,0.03,0.04,0.16,0.06,0.55,0.16,615,897,911,755,793,924,873,980,1.1,0.617,0.7,3.3,6.2,30,6.2,0.131,224,0.67,48.2,-5.9,30.5,0.12,282.05,1.17,64.5,17.6,2.2,89.3,66.5,9.4,0.3,35,18.1
"France",4.34,3.67,2.67,2.25,0.59,2.43,2,0.6,3.89,2,1.15,1.14,0,2.81,0.57,0,0.4,0.43,1.25,3,3,3,3,0.67,0.4,2.37,23.2,8.7,5.46,2.27,23.7,15.31,9.66,4.01,-0.02,0.04,171,3.97,1,5396,0.02,0.03,0.11,0.06,0.62,0.17,542,884,892,785,827,879,986,997,0.91,0.249,0.3,3.9,5.1,30,4.9,0.088,167,0.27,53.6,13.1,34.1,0.1,179.12,0.88,67,12.2,2.8,98.5,7.9,10.4,0.3,35,9.9
