"","Percentile","Year","national_inc_pc","gdp_cap"
"1","p0p100",1950,21407.3457,24866.8233
"2","p0p100",1951,22913.1275,26572.5181
"3","p0p100",1952,22684.4944,26456.2449
"4","p0p100",1953,23130.7502,27045.9685
"5","p0p100",1954,24229.2108,28228.5995
"6","p0p100",1955,25477.9709,29779.8824
"7","p0p100",1956,26811.8965,31413.6112
"8","p0p100",1957,27598.5484,32332.1898
"9","p0p100",1958,26909.9958,31326.7876
"10","p0p100",1959,28055.5494,32956.1388
"11","p0p100",1960,29574.9284,34915.8041
"12","p0p100",1961,31426.6115,37191.3905
"13","p0p100",1962,32357.7262,38224.2525
"14","p0p100",1963,33303.6983,39351.1678
"15","p0p100",1964,34313.8098,40716.9972
"16","p0p100",1965,34917.794,41426.1115
"17","p0p100",1966,35308.5331,41864.2753
"18","p0p100",1967,35798.3002,42449.0907
"19","p0p100",1968,36571.9518,43226.4566
"20","p0p100",1969,38036.6101,44923.3962
"21","p0p100",1970,37751.996,47287.5969
"22","p0p100",1971,39588.2247,50098.9821
"23","p0p100",1972,40373.0194,51541.6195
"24","p0p100",1973,40911.2061,51772.3088
"25","p0p100",1974,41536.2163,52154.9559
"26","p0p100",1975,40374.346,50715.1043
"27","p0p100",1976,41030.7294,50637.7657
"28","p0p100",1977,41861.2242,51349.5331
"29","p0p100",1978,41775.7936,51268.1485
"30","p0p100",1979,42049.0656,51112.6753
"31","p0p100",1980,42033.8101,51090.389
"32","p0p100",1981,42522.5823,51300.0523
"33","p0p100",1982,43081.8613,52218.7636
"34","p0p100",1983,42211.5032,51612.3253
"35","p0p100",1984,43729.821,52758.4095
"36","p0p100",1985,44910.1969,54882.038
"37","p0p100",1986,45405.9998,56091.9962
"38","p0p100",1987,45508.6758,56543.5583
"39","p0p100",1988,46428.3157,57488.5355
"40","p0p100",1989,46063.8425,58156.9907
"41","p0p100",1990,46376.1154,58817.3538
"42","p0p100",1991,45672.3074,58147.4394
"43","p0p100",1992,44438.8027,56786.5847
"44","p0p100",1993,44827.0877,57065.2956
"45","p0p100",1994,44759.8309,56967.5279
"46","p0p100",1995,45468.7462,56848.3362
"47","p0p100",1996,45625.6787,56729.4098
"48","p0p100",1997,47207.6052,57592.7371
"49","p0p100",1998,48138.2555,58560.7302
"50","p0p100",1999,48408.4764,58335.4797
"51","p0p100",2000,50532.5029,60472.9709
"52","p0p100",2001,49550.6472,61039.0153
"53","p0p100",2002,47593.9667,59777.7855
"54","p0p100",2003,48493.1111,59437.2567
"55","p0p100",2004,48942.0201,59904.2733
"56","p0p100",2005,50598.6321,60935.4108
"57","p0p100",2006,52566.7211,63751.5716
"58","p0p100",2007,51475.3576,65489.1702
"59","p0p100",2008,49367.1172,67579.1704
"60","p0p100",2009,50683.9301,64850.6954
"61","p0p100",2010,53873.8501,66046.99
"62","p0p100",2011,52265.2596,66783.2326
"63","p0p100",2012,52900.617,66851.1526
"64","p0p100",2013,53016.625,67137.9555
"65","p0p100",2014,52845.631,68090.8258
"66","p0p100",2015,54042.1246,68342.7401
"67","p0p100",2016,53926.9126,68950.4387
"68","p0p100",2017,53065.4425,69204.5419
"69","p0p100",2018,53889.7025,70622.3062
"70","p0p100",2019,54720.529,70879.3278
"71","p0p100",2020,53480.2588,68649.5079
"72","p0p100",2021,55786.0244,71082.9552
"73","p0p100",2022,57628.3553,73095.0198
