"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1971","1971","PC","Percentage","0","Units",,,2.497197,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1972","1972","PC","Percentage","0","Units",,,2.2064,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1973","1973","PC","Percentage","0","Units",,,2.064151,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1974","1974","PC","Percentage","0","Units",,,-1.604884,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1975","1975","PC","Percentage","0","Units",,,3.702207,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1976","1976","PC","Percentage","0","Units",,,1.667129,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1977","1977","PC","Percentage","0","Units",,,-0.116472,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1978","1978","PC","Percentage","0","Units",,,4.22613,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1979","1979","PC","Percentage","0","Units",,,0.510981,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1980","1980","PC","Percentage","0","Units",,,1.121956,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1981","1981","PC","Percentage","0","Units",,,2.885531,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1982","1982","PC","Percentage","0","Units",,,1.197031,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1983","1983","PC","Percentage","0","Units",,,2.741705,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1984","1984","PC","Percentage","0","Units",,,2.198774,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,-0.249672,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,0.067914,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,2.144399,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,-0.297709,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,0.334939,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,1.589039,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,2.297737,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,3.074953,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,0.215857,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,0.221009,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,3.007121,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,3.46597,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,3.436135,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,3.235554,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,0.871916,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,1.11759,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,3.466884,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,1.494835,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,2.319298,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,-0.335073,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,0.372677,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,0.510248,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,1.139095,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,3.470381,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,-0.81246,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,1.595134,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,1.176883,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,2.416253,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,1.745754,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,0.470958,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,2.546967,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,-0.249481,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,1.164112,,
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,0.02811,"E","Estimated value"
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2019","2019","PC","Percentage","0","Units",,,0.926265,"E","Estimated value"
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2020","2020","PC","Percentage","0","Units",,,1.764759,"E","Estimated value"
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2021","2021","PC","Percentage","0","Units",,,1.621854,"E","Estimated value"
"AUS","Australia","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","2022","2022","PC","Percentage","0","Units",,,-1.95436,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1971","1971","PC","Percentage","0","Units",,,5.076012,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1972","1972","PC","Percentage","0","Units",,,5.310813,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1973","1973","PC","Percentage","0","Units",,,5.454614,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1974","1974","PC","Percentage","0","Units",,,0.641074,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1975","1975","PC","Percentage","0","Units",,,4.10963,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1976","1976","PC","Percentage","0","Units",,,3.694287,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1977","1977","PC","Percentage","0","Units",,,3.706802,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1978","1978","PC","Percentage","0","Units",,,2.867729,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1979","1979","PC","Percentage","0","Units",,,3.442676,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1980","1980","PC","Percentage","0","Units",,,-0.771006,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1981","1981","PC","Percentage","0","Units",,,2.943594,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1982","1982","PC","Percentage","0","Units",,,2.790723,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1983","1983","PC","Percentage","0","Units",,,2.979318,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1984","1984","PC","Percentage","0","Units",,,3.02289,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,2.529066,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,2.16796,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,2.030952,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,1.962466,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,2.093386,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,2.926287,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,2.613889,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,1.721754,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,1.910343,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,6.384333,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,1.488079,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,2.384178,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,0.724837,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,-0.115174,,
"DNK","Denmark","T_GDPHRS_V","GDP per hour worked, constant prices","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,1.018541,,
