"","period","country","wage_share"
"1","1960","Austria",63.8707835
"2","1960","Belgium",55.8694102
"3","1960","Switzerland",NA
"4","1960","Germany",NA
"5","1960","Euro_area",NA
"6","1960","France",62.2920296
"7","1960","Japan",NA
"8","1960","Sweden",51.6110232
"9","1960","USA",62.8606877
"10","1961","Austria",63.4628459
"11","1961","Belgium",54.7193701
"12","1961","Switzerland",NA
"13","1961","Germany",NA
"14","1961","Euro_area",NA
"15","1961","France",63.6115038
"16","1961","Japan",NA
"17","1961","Sweden",51.8779463
"18","1961","USA",62.3578122
"19","1962","Austria",64.459626
"20","1962","Belgium",55.6734717
"21","1962","Switzerland",NA
"22","1962","Germany",NA
"23","1962","Euro_area",NA
"24","1962","France",63.5934447
"25","1962","Japan",NA
"26","1962","Sweden",52.9330659
"27","1962","USA",61.8168897
"28","1963","Austria",64.147882
"29","1963","Belgium",56.0437569
"30","1963","Switzerland",NA
"31","1963","Germany",NA
"32","1963","Euro_area",NA
"33","1963","France",64.231407
"34","1963","Japan",NA
"35","1963","Sweden",53.5138714
"36","1963","USA",61.47687
"37","1964","Austria",63.9578788
"38","1964","Belgium",55.3624345
"39","1964","Switzerland",NA
"40","1964","Germany",NA
"41","1964","Euro_area",NA
"42","1964","France",63.8436932
"43","1964","Japan",NA
"44","1964","Sweden",52.7768542
"45","1964","USA",61.177732
"46","1965","Austria",63.7966934
"47","1965","Belgium",55.6286845
"48","1965","Switzerland",NA
"49","1965","Germany",NA
"50","1965","Euro_area",NA
"51","1965","France",63.3473584
"52","1965","Japan",NA
"53","1965","Sweden",52.6038213
"54","1965","USA",60.4985849
"55","1966","Austria",63.3912276
"56","1966","Belgium",56.4505945
"57","1966","Switzerland",NA
"58","1966","Germany",NA
"59","1966","Euro_area",NA
"60","1966","France",62.4896945
"61","1966","Japan",NA
"62","1966","Sweden",53.1388041
"63","1966","USA",60.6853273
"64","1967","Austria",64.1315387
"65","1967","Belgium",56.393579
"66","1967","Switzerland",NA
"67","1967","Germany",NA
"68","1967","Euro_area",NA
"69","1967","France",62.0770924
"70","1967","Japan",NA
"71","1967","Sweden",52.8850083
"72","1967","USA",61.3421296
"73","1968","Austria",63.2648861
"74","1968","Belgium",55.9681388
"75","1968","Switzerland",NA
"76","1968","Germany",NA
"77","1968","Euro_area",NA
"78","1968","France",63.5843396
"79","1968","Japan",NA
"80","1968","Sweden",53.7564735
"81","1968","USA",61.5774568
"82","1969","Austria",62.689413
"83","1969","Belgium",55.5224208
"84","1969","Switzerland",NA
"85","1969","Germany",NA
"86","1969","Euro_area",NA
"87","1969","France",62.4111655
"88","1969","Japan",NA
"89","1969","Sweden",53.5877643
"90","1969","USA",62.597646
"91","1970","Austria",60.5607189
"92","1970","Belgium",55.3877921
"93","1970","Switzerland",NA
"94","1970","Germany",NA
"95","1970","Euro_area",NA
"96","1970","France",62.6040296
"97","1970","Japan",NA
"98","1970","Sweden",52.6937111
"99","1970","USA",63.1966336
"100","1971","Austria",61.76962
"101","1971","Belgium",57.5163173
"102","1971","Switzerland",NA
"103","1971","Germany",NA
"104","1971","Euro_area",NA
"105","1971","France",62.7630315
"106","1971","Japan",NA
"107","1971","Sweden",52.9964851
"108","1971","USA",62.1352502
"109","1972","Austria",60.4118567
"110","1972","Belgium",59.2749887
"111","1972","Switzerland",NA
"112","1972","Germany",NA
"113","1972","Euro_area",NA
"114","1972","France",62.2792046
"115","1972","Japan",NA
"116","1972","Sweden",52.6767803
"117","1972","USA",62.1416138
"118","1973","Austria",61.3720534
"119","1973","Belgium",59.9314782
"120","1973","Switzerland",NA
"121","1973","Germany",NA
"122","1973","Euro_area",NA
"123","1973","France",61.9195576
"124","1973","Japan",NA
"125","1973","Sweden",50.7183434
"126","1973","USA",61.8509722
"127","1974","Austria",61.9847557
"128","1974","Belgium",61.8108304
"129","1974","Switzerland",NA
"130","1974","Germany",NA
"131","1974","Euro_area",NA
"132","1974","France",63.0291924
"133","1974","Japan",NA
"134","1974","Sweden",51.6157183
"135","1974","USA",62.377972
"136","1975","Austria",65.5292857
"137","1975","Belgium",63.9297116
"138","1975","Switzerland",NA
"139","1975","Germany",NA
"140","1975","Euro_area",NA
"141","1975","France",65.7953222
"142","1975","Japan",NA
"143","1975","Sweden",52.4408998
"144","1975","USA",61.0936807
"145","1976","Austria",64.993137
"146","1976","Belgium",64.7171679
"147","1976","Switzerland",NA
"148","1976","Germany",NA
"149","1976","Euro_area",NA
"150","1976","France",65.8473584
"151","1976","Japan",NA
"152","1976","Sweden",54.7618281
"153","1976","USA",60.6331283
"154","1977","Austria",64.2386614
"155","1977","Belgium",64.9139668
"156","1977","Switzerland",NA
"157","1977","Germany",NA
