country;category;year;value
Allemagne;anninc;1950;7062.0521
Allemagne;anninc;1951;7726.4185
Allemagne;anninc;1952;8406.5357
Allemagne;anninc;1953;9140.5077
Allemagne;anninc;1954;9769.694
Allemagne;anninc;1955;10875.3679
Allemagne;anninc;1956;11577.3665
Allemagne;anninc;1957;12126.6666
Allemagne;anninc;1958;12479.3165
Allemagne;anninc;1959;13277.8011
Allemagne;anninc;1960;14266.9939
Allemagne;anninc;1961;14682.553
Allemagne;anninc;1962;15167.0576
Allemagne;anninc;1963;15419.5432
Allemagne;anninc;1964;16320.4556
Allemagne;anninc;1965;17103.661
Allemagne;anninc;1966;17502.3374
Allemagne;anninc;1967;17324.5505
Allemagne;anninc;1968;18289.6926
Allemagne;anninc;1969;19674.3551
Allemagne;anninc;1970;20521.9786
Allemagne;anninc;1971;20979.9802
Allemagne;anninc;1972;21737.6257
Allemagne;anninc;1973;22707.8609
Allemagne;anninc;1974;22701.9189
Allemagne;anninc;1975;22350.6838
Allemagne;anninc;1976;23453.3396
Allemagne;anninc;1977;24101.955
Allemagne;anninc;1978;24782.4495
Allemagne;anninc;1979;25576.7842
Allemagne;anninc;1980;25660.2544
Allemagne;anninc;1981;25489.7299
Allemagne;anninc;1982;25100.8625
Allemagne;anninc;1983;25332.3155
Allemagne;anninc;1984;25910.5708
Allemagne;anninc;1985;26290.3838
Allemagne;anninc;1986;26611.0604
Allemagne;anninc;1987;26668.6878
Allemagne;anninc;1988;27547.5302
Allemagne;anninc;1989;28449.3859
Allemagne;anninc;1990;29671.0692
Allemagne;anninc;1991;33334.7044
Allemagne;anninc;1992;33592.5661
Allemagne;anninc;1993;32766.4467
Allemagne;anninc;1994;33379.0332
Allemagne;anninc;1995;33674.2443
Allemagne;anninc;1996;33879.383
Allemagne;anninc;1997;34373.5078
Allemagne;anninc;1998;34886.0244
Allemagne;anninc;1999;35451.1696
Allemagne;anninc;2000;36247.6736
Allemagne;anninc;2001;36526.1906
Allemagne;anninc;2002;36208.1549
Allemagne;anninc;2003;36139.4924
Allemagne;anninc;2004;37131.3261
Allemagne;anninc;2005;37399.6569
Allemagne;anninc;2006;39169.037
Allemagne;anninc;2007;40042.2203
Allemagne;anninc;2008;40102.0171
Allemagne;anninc;2009;37657.5186
Allemagne;anninc;2010;38896.9335
Allemagne;anninc;2011;39832.0829
Allemagne;anninc;2012;40006.2857
Allemagne;anninc;2013;40031.5626
Allemagne;anninc;2014;40751.4814
Allemagne;anninc;2015;41378.7813
Allemagne;anninc;2016;42285.0698
Allemagne;anninc;2017;43230.4054
Allemagne;anninc;2018;43578.8111
Allemagne;anninc;2019;43387.254
Allemagne;anninc;2020;41454.046
Allemagne;anninc;2021;42850.4037
Allemagne;anninc;2022;43882.322
Allemagne;agdpro;1950;10570.5365
Allemagne;agdpro;1951;11476.7307
Allemagne;agdpro;1952;12383.5851
Allemagne;agdpro;1953;13308.0767
Allemagne;agdpro;1954;14139.7608
Allemagne;agdpro;1955;15631.284
Allemagne;agdpro;1956;16707.814
Allemagne;agdpro;1957;17553.2683
Allemagne;agdpro;1958;18026.3606
Allemagne;agdpro;1959;19165.7998
Allemagne;agdpro;1960;20532.5421
Allemagne;agdpro;1961;21268.7777
Allemagne;agdpro;1962;22047.9274
Allemagne;agdpro;1963;22459.9025
Allemagne;agdpro;1964;23720.8215
Allemagne;agdpro;1965;24730.9526
Allemagne;agdpro;1966;25211.2129
Allemagne;agdpro;1967;25040.4998
Allemagne;agdpro;1968;26308.304
Allemagne;agdpro;1969;28033.1666
Allemagne;agdpro;1970;29373.1229
Allemagne;agdpro;1971;30077.3852
Allemagne;agdpro;1972;31018.1936
Allemagne;agdpro;1973;32193.6618
Allemagne;agdpro;1974;32282.5081
Allemagne;agdpro;1975;31975.5074
Allemagne;agdpro;1976;33549.3691
Allemagne;agdpro;1977;34597.2269
Allemagne;agdpro;1978;35516.0595
Allemagne;agdpro;1979;36798.1055
Allemagne;agdpro;1980;37047.3843
Allemagne;agdpro;1981;36876.4826
Allemagne;agdpro;1982;36493.0855
Allemagne;agdpro;1983;36911.9456
Allemagne;agdpro;1984;37822.8557
Allemagne;agdpro;1985;38512.5932
Allemagne;agdpro;1986;39075.7578
Allemagne;agdpro;1987;39269.0126
Allemagne;agdpro;1988;40243.9636
Allemagne;agdpro;1989;41032.7336
Allemagne;agdpro;1990;42203.2973
Allemagne;agdpro;1991;38415.6357
Allemagne;agdpro;1992;38869.8646
Allemagne;agdpro;1993;38148.8139
Allemagne;agdpro;1994;39056.0456
Allemagne;agdpro;1995;39584.596
Allemagne;agdpro;1996;39778.8883
Allemagne;agdpro;1997;40406.6598
Allemagne;agdpro;1998;41138.7455
Allemagne;agdpro;1999;41777.0805
Allemagne;agdpro;2000;42778.0629
Allemagne;agdpro;2001;43177.8711
