annee,activite,nom_act,unite,B1G,D1,EBE_approx,part_travail,part_profits,nom_court
2019,A,"Agriculture, forestry and fishing",XDC,4705.042,1767.329,2937.7130000000006,0.375624489643238,0.6243755103567621,Agriculture
2020,A,"Agriculture, forestry and fishing",XDC,4944.525,1792.52,3152.0049999999997,0.36252622850526595,0.637473771494734,Agriculture
2021,A,"Agriculture, forestry and fishing",XDC,4717.152,1723.42,2993.732,0.3653518054961977,0.6346481945038023,Agriculture
2022,A,"Agriculture, forestry and fishing",XDC,4901.647,1859.785,3041.862,0.3794204274604026,0.6205795725395974,Agriculture
2023,A,"Agriculture, forestry and fishing",XDC,5083.491,1852.202,3231.2889999999998,0.3643563055388512,0.6356436944611488,Agriculture
2024,A,"Agriculture, forestry and fishing",XDC,5204.798,1889.856,3314.942,0.36309881766785185,0.6369011823321482,Agriculture
2019,B,Mining and quarrying,XDC,776.166,438.496,337.6700000000001,0.5649513119616164,0.4350486880383836,Industries extractives
2020,B,Mining and quarrying,XDC,755.68,429.623,326.05699999999996,0.5685250370527207,0.4314749629472793,Industries extractives
2021,B,Mining and quarrying,XDC,735.814,456.816,278.998,0.6208308077856632,0.37916919221433676,Industries extractives
2022,B,Mining and quarrying,XDC,654.268,429.866,224.40200000000004,0.657018224947575,0.34298177505242505,Industries extractives
2023,B,Mining and quarrying,XDC,676.637,424.966,251.67099999999994,0.6280561068933564,0.37194389310664355,Industries extractives
2024,B,Mining and quarrying,XDC,699.332,440.074,259.258,0.6292776535322279,0.3707223464677721,Industries extractives
2019,C,Manufacturing,XDC,140594.462,67504.419,73090.043,0.48013568983961824,0.5198643101603817,Industrie manufacturière
2020,C,Manufacturing,XDC,135203.278,64765.821,70437.457,0.47902552333087667,0.5209744766691233,Industrie manufacturière
2021,C,Manufacturing,XDC,158978.076,67742.29,91235.78600000001,0.42611089342910397,0.573889106570896,Industrie manufacturière
2022,C,Manufacturing,XDC,163316.249,71005.583,92310.66600000001,0.43477353560820514,0.5652264643917949,Industrie manufacturière
2023,C,Manufacturing,XDC,161470.651,72393.267,89077.384,0.4483369984059828,0.5516630015940173,Industrie manufacturière
2024,C,Manufacturing,XDC,162819.062,73414.448,89404.614,0.4508959030853525,0.5491040969146475,Industrie manufacturière
2019,D,"Electricity, gas, steam and air conditioning supply",XDC,11471.243,3559.891,7911.352000000001,0.3103317574215802,0.6896682425784199,Énergie
2020,D,"Electricity, gas, steam and air conditioning supply",XDC,11458.786,3682.05,7776.736,0.32132985117271584,0.6786701488272842,Énergie
2021,D,"Electricity, gas, steam and air conditioning supply",XDC,8516.336,3833.781,4682.554999999999,0.45016788910160427,0.5498321108983957,Énergie
2022,D,"Electricity, gas, steam and air conditioning supply",XDC,10428.519,3973.045,6455.474,0.3809788331401611,0.6190211668598389,Énergie
2023,D,"Electricity, gas, steam and air conditioning supply",XDC,13681.655,4296.811,9384.844000000001,0.3140563769514726,0.6859436230485274,Énergie
2024,D,"Electricity, gas, steam and air conditioning supply",XDC,12740.019,4431.569,8308.45,0.34784634151644517,0.6521536584835549,Énergie
2019,E,"Water supply; sewerage, waste management and remediation activities",XDC,2300.54,1453.724,846.816,0.6319055526093873,0.36809444739061264,"Eau, déchets"
2020,E,"Water supply; sewerage, waste management and remediation activities",XDC,2311.73,1448.136,863.594,0.6264295570849536,0.3735704429150463,"Eau, déchets"
2021,E,"Water supply; sewerage, waste management and remediation activities",XDC,2526.798,1510.821,1015.9769999999999,0.5979191846756251,0.40208081532437495,"Eau, déchets"
2022,E,"Water supply; sewerage, waste management and remediation activities",XDC,2614.272,1589.555,1024.7169999999999,0.6080296923962006,0.3919703076037994,"Eau, déchets"
2023,E,"Water supply; sewerage, waste management and remediation activities",XDC,2657.097,1660.887,996.2100000000003,0.6250757875982698,0.37492421240173024,"Eau, déchets"
2024,E,"Water supply; sewerage, waste management and remediation activities",XDC,2589.775,1715.488,874.287,0.6624081242578989,0.33759187574210114,"Eau, déchets"
2019,F,Construction,XDC,33405.173,27832.511,5572.662000000004,0.8331796695080728,0.1668203304919272,Construction
2020,F,Construction,XDC,33570.645,27723.531,5847.113999999998,0.8258265815268072,0.17417341847319281,Construction
2021,F,Construction,XDC,34935.792,28575.668,6360.124,0.8179481947911758,0.18205180520882422,Construction
2022,F,Construction,XDC,35901.804,29466.596,6435.207999999995,0.8207553024354989,0.1792446975645011,Construction
2023,F,Construction,XDC,37327.653,29914.87,7412.782999999999,0.8014130971481116,0.19858690285188837,Construction
2024,F,Construction,XDC,38219.933,31120.678,7099.254999999997,0.8142525524573788,0.18574744754262124,Construction
2019,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,109261.475,51442.204,57819.27100000001,0.47081740384705584,0.5291825961529442,Commerce de gros/détail
2020,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,105687.238,50295.903,55391.335,0.4758938160537415,0.5241061839462585,Commerce de gros/détail
2021,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,116612.31,52340.108,64272.202,0.44883861746671516,0.5511613825332848,Commerce de gros/détail
2022,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,128170.724,55357.87,72812.85399999999,0.4319072895304859,0.568092710469514,Commerce de gros/détail
2023,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,123331.165,56251.54,67079.625,0.456101586326538,0.543898413673462,Commerce de gros/détail
2024,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,XDC,119940.907,57610.541,62330.36600000001,0.48032437340164513,0.5196756265983549,Commerce de gros/détail
2019,H,Transportation and storage,XDC,27324.8,19094.024,8230.775999999998,0.6987800093687786,0.3012199906312214,Transport
2020,H,Transportation and storage,XDC,23308.35,18303.631,5004.718999999997,0.7852821413785189,0.21471785862148104,Transport
2021,H,Transportation and storage,XDC,25450.532,19024.587,6425.945,0.7475123506259123,0.25248764937408774,Transport
2022,H,Transportation and storage,XDC,29152.252,20177.76,8974.492000000002,0.6921509871690187,0.30784901283098137,Transport
2023,H,Transportation and storage,XDC,30192.529,21040.549,9151.98,0.6968793173966977,0.30312068260330227,Transport
2024,H,Transportation and storage,XDC,30644.528,21879.34,8765.187999999998,0.713972164948992,0.2860278350510081,Transport
2019,I,Accommodation and food service activities,XDC,14041.73,13126.697,915.0329999999994,0.9348347390243226,0.06516526097567746,Hébergement/restauration
2020,I,Accommodation and food service activities,XDC,8467.915,10167.928,-1700.012999999999,1.2007593368615532,-0.20075933686155314,Hébergement/restauration
2021,I,Accommodation and food service activities,XDC,8323.706,10211.23,-1887.5239999999994,1.2267648569038838,-0.22676485690388384,Hébergement/restauration
2022,I,Accommodation and food service activities,XDC,13410.866,13610.286,-199.42000000000007,1.0148700315102694,-0.014870031510269364,Hébergement/restauration
2023,I,Accommodation and food service activities,XDC,15054.878,14307.288,747.5900000000001,0.950342340867857,0.04965765913214309,Hébergement/restauration
2024,I,Accommodation and food service activities,XDC,15544.983,13062.376,2482.607,0.8402952901267244,0.1597047098732755,Hébergement/restauration
2019,J,Information and communication,XDC,32184.338,20730.138,11454.2,0.6441063973414647,0.35589360265853537,Information/communication
2020,J,Information and communication,XDC,32983.409,21322.471,11660.937999999998,0.6464604977611623,0.3535395022388377,Information/communication
2021,J,Information and communication,XDC,34469.419,22872.614,11596.805,0.6635625044912999,0.33643749550870006,Information/communication
