"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_A01",1902.945,11.37,0.383,0,0.003,0.012,1.065,0.005,6377.625,19.997,2.727,1.968,0.047,154.292,48.919,35.294,1.321,0.436,0.384,6.098,7.215,2.084,8.325,0.344,0.029,1.656,4.086,154.502,1.774,13.202,149.739,8.507,92.66,1.855,26.971,1.495,131.411,4.016,1.168,1.575,10.92,81.099,44.532,15.64,74.268,5.533,38.146,11.93,10.985,0,3115.477,0.061,654.26,211.835,-3.224,133.648,192.36,180.894,-3078.222,10877.644
"TTL_A02",9.45,235.369,0.004,0,0.001,0.008,0.61,0.001,10.14,1.515,364.527,8.574,0.025,14.882,4.339,7.681,0.438,0.14,0.102,5.836,2.314,0.907,1.375,0.049,0.045,0.712,8.236,13.517,1.106,26.793,27.269,2.384,1.331,0.32,3.598,0.219,5.852,0.29,0.218,0.524,0.797,9.219,2.282,0.959,4.178,0.487,2.212,1.121,1.557,0,126.203,0.003,0.113,42.494,0.328,1.218,1.399,109.472,-97.86,966.883
"TTL_A03",1.126,0.004,1.865,0,0,0,0.046,0,101.06,0.029,0.043,0.029,0.004,3.886,0.662,0.035,0.042,0.016,0.015,0.08,0.287,0.072,0.105,0.004,0.003,0.042,0.072,0.321,0.318,0.205,2.814,0.424,5.824,0.09,0.827,0.057,14.296,0.023,0.01,0.044,0.111,2.111,0.177,0.402,0.147,0.056,3.342,1.081,0.212,0,82.233,0,0.005,1.566,-0.044,8.239,0.429,35.689,-214.369,56.165
"TTL_B05",0.314,0.004,0.001,0,0,0.003,0.252,0.002,2.645,0.018,0.125,0.459,19.73,12.327,0.502,0.069,9.054,3.535,1.109,1.786,0.216,0.285,0.806,0.003,0,0.036,0.978,65.86,0.331,11.206,1.221,0.143,0.169,0.063,3.252,0.024,0.358,0.062,0.06,0.425,0.181,2.054,2.596,0.209,5.743,0.128,0.252,0.239,0.299,0,123.749,0,0.006,1.095,0,0.415,0,0,-274.399,0
"TTL_B06",0.744,0.021,0.002,0,0.086,0.086,6.197,0.051,9.736,0.253,0.813,1.467,112.017,93.097,2.224,1.811,9.101,6.189,8.329,3.292,2.446,1.252,3.263,0.141,0.011,0.715,1.115,627.745,1.155,13.021,19.147,7.634,6.234,1.408,2.025,0.706,2.787,0.269,0.216,0.61,1.782,2.11,6.453,2.831,3.054,0.938,2.164,2.354,1.666,0,472.757,0.002,13.825,15.978,0,4.186,0.056,4.729,-1474.48,7.82
"TTL_B07",0.2,0.008,0,0,0.005,0.565,3.91,0.039,1.511,0.032,0.042,0.099,0.826,39.075,0.982,0.218,8.547,52.768,121.222,7.125,1.677,2.857,1.53,0.043,0.002,0.128,0.548,8.206,0.445,22.5,2.625,0.701,0.101,0.057,0.342,0.029,0.226,0.05,0.037,0.076,0.321,0.257,1.577,0.531,0.348,0.04,0.159,0.318,0.309,0,1.066,0.001,0.01,1.063,0,1.084,0.047,8.884,-259.342,36.031
"TTL_B08",7.738,0.134,0.019,0,0.039,0.251,112.81,0.138,19.906,0.42,1.479,3.352,4.685,353.579,7.116,3.854,426.412,26.107,28.728,15.826,7.104,6.911,7.552,0.151,0.016,0.632,6.07,68.252,6.795,1098.325,20.825,8.13,2.091,0.141,4.193,0.133,2.149,0.111,0.222,0.443,0.453,11.985,8.816,5.273,14.667,0.498,1.365,1.843,2.006,0,130.287,0.001,0.012,1.839,0,0.894,0.022,23.417,-257.935,2198.284
"TTL_B09",0.282,0.019,0.003,0,0.001,0.004,0.183,0.002,0.264,0.027,0.07,0.046,0.084,0.518,0.13,0.05,0.198,0.226,0.459,0.203,0.394,0.125,0.244,0.008,0.001,0.056,0.192,0.928,0.087,1.035,2.176,0.433,0.857,0.359,0.276,0.058,0.097,0.133,0.086,0.263,0.469,0.202,1.379,0.683,0.56,0.05,0.22,0.188,0.299,0,2.101,0.002,0.52,28.203,-0.02,0.711,0.055,0.957,-24.332,22.822
"TTL_C10T12",1163.559,0.32,1.921,0,0.009,0.037,4.054,0.02,9637.867,41.923,0.895,35.026,0.15,585.417,411.699,7.629,3.444,7.853,11.715,4.304,682.052,47.07,16.01,0.19,0.031,1.938,6.118,291.377,53.094,13.413,641.516,62.189,1565.107,160.739,117.972,93.852,4810.184,5.19,0.857,11.09,70.796,325.131,80.988,211.316,274.718,196.407,1414.38,364.807,196.971,0,23268.742,0.055,0.916,27.116,1.69,488.149,439.998,6383.803,-9563.435,44680.382
"TTL_C13T15",38.69,0.184,0.053,0,0.023,0.096,7.863,0.055,193.386,700.365,2.03,254.945,0.739,36.975,51.093,232.024,127.749,0.215,0.208,180.472,13.541,110.326,61.84,8.431,0.785,44.856,156.49,53.827,42.003,402.561,833.009,31.366,29.629,9.027,27.334,0.969,96.738,7.042,0.476,2.803,139.94,60.532,282.154,41.473,142.079,17.292,143.776,85.957,112.864,0,6043.963,0.073,0.339,193.458,-26.69,233.581,20.131,1996.338,-9986.679,3260.795
