"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01",1.11138,0.02389,0.01814,0,0.00133,0.00166,0.00194,0.00102,0.16109,0.00723,0.0036,0.00215,0.00169,0.01002,0.00363,0.00408,0.00154,0.00154,0.00131,0.00104,0.00108,0.00137,0.00115,0.00109,0.00026,0.00115,0.00186,0.00277,0.00254,0.00146,0.00395,0.00221,0.00456,0.00236,0.00246,0.00168,0.04131,0.00176,0.00092,0.00091,0.00072,0.00069,0.00174,0.00246,0.00189,0.00357,0.00262,0.00606,0.00327,0
"DOM_A02",0.00191,1.1434,0.00054,0,0.00061,0.00085,0.00089,0.00031,0.00144,0.00046,0.06271,0.00462,0.00058,0.00125,0.00034,0.00251,0.00132,0.00073,0.00062,0.00051,0.00029,0.00053,4e-04,0.00044,0.00026,0.00045,0.00516,0.00294,0.00067,0.00295,0.00064,0.00058,0.00056,0.00056,0.00078,0.00039,0.00076,0.00041,0.00025,0.00018,0.00015,0.00115,0.00033,0.00037,0.00032,0.00044,2e-04,0.00066,0.00062,0
"DOM_A03",8e-05,1e-05,1.00089,0,0,1e-05,1e-05,0,0.00039,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,0.00013,0,0,0,0,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0
"DOM_B05",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B06",0,0,0,0,1.00001,1e-05,1e-05,0,0,0,0,0,0.00016,1e-05,0,0,1e-05,1e-05,0,0,0,0,0,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07",1e-05,1e-05,1e-05,0,5e-05,1.00123,0.00026,8e-05,1e-05,1e-05,1e-05,1e-05,0.00016,1e-04,1e-05,2e-05,0.00022,0.0026,0.00467,0.00013,1e-05,4e-05,5e-05,3e-05,1e-05,4e-05,2e-05,1e-04,3e-05,6e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,0
"DOM_B08",0.00154,0.00128,0.00078,0,0.0023,0.00704,1.05279,0.00395,0.0014,0.00046,0.00077,0.00147,0.00827,0.0101,0.00051,0.00186,0.07157,0.01536,0.00818,0.00144,0.00053,0.00119,0.00086,0.00068,0.00022,0.00075,0.0011,0.00642,0.00242,0.0136,6e-04,0.00091,0.00075,0.00054,0.00104,6e-04,0.00079,0.00039,0.00042,0.00024,0.00023,0.00233,0.00048,0.00058,0.00063,0.00067,0.00025,0.00079,0.00063,0
"DOM_B09",0,0,0,0,0.00015,3e-05,8e-05,1.00015,0,0,0,0,5e-05,1e-05,0,0,2e-05,1e-05,1e-05,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.27364,0.01753,0.11639,0,0.0056,0.00686,0.00851,0.0041,1.3913,0.01909,0.00677,0.01056,0.00866,0.05282,0.01628,0.00993,0.00653,0.00609,0.00567,0.00413,0.00441,0.00569,0.00461,0.00406,0.00103,0.00461,0.00685,0.00822,0.01039,0.00472,0.01574,0.00865,0.02702,0.01136,0.01123,0.00788,0.24342,0.01017,0.00417,0.00474,0.00329,0.00281,0.00652,0.0103,0.00853,0.02075,0.01281,0.03629,0.0163,0
"DOM_C13T15",0.00053,0.00088,0.00096,0,0.00077,0.0012,0.00075,0.00049,0.00064,1.05094,8e-04,0.00121,0.00051,0.00097,5e-04,0.0016,0.00087,0.00073,0.00056,0.00054,0.00052,0.00058,0.00053,0.00128,0.00016,0.00067,0.00474,0.00099,0.00118,0.00066,0.00089,0.00064,0.00074,8e-04,0.00074,0.00106,0.00077,0.00061,0.00031,0.00024,0.00019,0.00032,0.00054,0.00103,0.00081,0.00088,0.00047,0.00234,0.00138,0
"DOM_C16",0.0068,0.02281,0.00355,0,0.00506,0.00774,0.00807,0.00362,0.00702,0.00408,1.25729,0.02477,0.00421,0.01108,0.00309,0.0093,0.01645,0.00601,0.00593,0.00654,0.0031,0.00649,0.00474,0.00543,0.00407,0.00555,0.07213,0.01235,0.00651,0.04797,0.00522,0.00586,0.00616,0.00678,0.00994,0.00379,0.00514,0.00396,0.00239,0.00182,0.00148,0.01683,0.00389,0.00419,0.00256,0.00389,0.00187,0.00541,0.00646,0
"DOM_C17_18",0.00204,0.00172,0.00116,0,0.00208,0.00196,0.00199,0.00142,0.00413,0.00166,0.00225,1.05606,0.0021,0.00345,0.00221,0.00321,0.00308,0.00204,0.00182,0.00179,0.0018,0.00252,0.00178,0.00142,4e-04,0.00217,0.0025,0.00357,0.00318,0.00153,0.00358,0.00257,0.00345,0.00284,0.00329,0.00681,0.00221,0.02401,0.00306,0.00342,0.00361,0.00134,0.00444,0.0056,0.00366,0.007,0.00132,0.00531,0.00717,0
"DOM_C19",0.00021,0.00032,0.00023,0,0.00028,0.00036,0.00037,0.00016,0.00022,0.00012,0.00021,2e-04,1.0029,0.00093,0.00012,2e-04,3e-04,0.00035,0.00022,0.00013,0.00011,0.00017,0.00012,0.00012,3e-05,0.00014,0.00016,0.00098,0.00025,0.00015,0.00017,0.00074,0.00266,0.00329,0.00045,0.00038,0.00014,9e-05,8e-05,6e-05,6e-05,6e-05,1e-04,0.00024,9e-05,0.00011,6e-05,0.00016,0.00013,0
"DOM_C20",0.00887,0.00169,0.00102,0,0.00196,0.00486,0.00435,0.0017,0.00343,0.00431,0.00401,0.00884,0.01117,1.06376,0.00421,0.04159,0.00618,0.00281,0.00309,0.00227,0.00169,0.00356,0.00179,0.00203,7e-04,0.00181,0.00372,0.00183,0.00369,0.00217,9e-04,0.00109,0.0013,0.00111,0.00137,0.00072,0.00142,0.00129,0.00043,0.00048,3e-04,0.00112,0.00132,0.0011,0.00056,0.00094,0.00089,0.00118,0.00177,0
"DOM_C21",0.05169,0.00738,0.01385,0,0.01256,0.02516,0.01069,0.00665,0.0272,0.00596,0.00548,0.00617,0.00763,0.04951,1.44775,0.00904,0.00652,0.00859,0.00684,0.00415,0.00402,0.00474,0.00638,0.00364,0.00101,0.00464,0.01086,0.01215,0.02378,0.0053,0.00822,0.00873,0.01275,0.00931,0.00913,0.00727,0.00864,0.00608,0.00383,0.00353,0.00379,0.00292,0.03395,0.0066,0.02336,0.01538,0.13275,0.02327,0.02551,0
"DOM_C22",0.00508,0.00356,0.00276,0,0.00361,0.00463,0.00447,0.00217,0.00942,0.0056,0.00496,0.0108,0.00318,0.01145,0.00458,1.05662,0.00585,0.00326,0.00362,0.00496,0.00492,0.01174,0.00716,0.01038,0.00113,0.0083,0.00808,0.00339,0.00576,0.00766,0.00408,0.00732,0.00383,0.00277,0.00405,0.00292,0.00309,0.00194,0.00128,0.00093,0.00068,0.00287,0.0018,0.00244,0.00116,0.0017,0.00127,0.00236,0.00203,0
"DOM_C23",0.00368,0.00354,0.00144,0,0.00399,0.00803,0.00762,0.00257,0.00478,0.00158,0.0047,0.00227,0.00283,0.00602,0.00296,0.00796,1.0857,0.01157,0.0056,0.00449,0.0036,0.00643,0.00337,0.00436,0.00125,0.00322,0.00466,0.00589,0.00519,0.04872,0.00255,0.00281,0.00422,0.00223,0.00398,0.00207,0.00299,0.00132,0.00144,0.00095,0.00086,0.01219,0.00214,0.00177,0.00182,0.00257,0.00109,0.00266,0.00255,0
"DOM_C24A",0.00067,0.00096,0.00037,0,0.00362,0.003,0.00141,0.00139,0.00083,4e-04,0.00122,0.00083,0.0011,0.00124,0.00038,0.00245,0.00284,1.06848,0.00556,0.02823,0.00164,0.00689,0.01379,0.0065,0.00279,0.01097,0.00351,0.00209,0.00442,0.00614,0.00065,0.00077,0.00102,7e-04,0.00102,0.00045,0.00045,3e-04,0.00037,0.00024,0.00016,0.00116,0.00055,0.00047,0.00044,0.00043,0.00019,6e-04,0.00048,0
"DOM_C24B",0.00011,0.00013,6e-05,0,0.00026,0.00032,0.00019,0.00013,0.00017,7e-05,0.00018,0.00019,0.00016,0.00057,8e-05,4e-04,0.00033,0.0028,1.02207,0.00312,0.00072,0.00338,0.00144,0.00086,0.00022,0.00132,0.00092,0.00035,9e-04,0.00051,0.00011,0.00012,0.00016,0.00012,0.00013,7e-05,8e-05,6e-05,9e-05,5e-05,3e-05,0.00011,8e-05,7e-05,6e-05,6e-05,3e-05,1e-04,9e-05,0
"DOM_C25",0.01186,0.01623,0.00609,0,0.02934,0.0328,0.02085,0.02146,0.01742,0.0068,0.02365,0.01127,0.01373,0.02315,0.00606,0.02637,0.02411,0.05837,0.03129,1.14575,0.01694,0.05226,0.09606,0.0467,0.02255,0.06778,0.03985,0.02103,0.0209,0.06252,0.00914,0.00986,0.0129,0.00865,0.01245,0.00587,0.00779,0.00428,0.00504,0.00331,0.00213,0.01528,0.00741,0.00794,0.00783,0.00585,0.00262,0.00812,0.00756,0
"DOM_C26",0.00808,0.00873,0.00519,0,0.0136,0.01373,0.01164,0.00836,0.01015,0.00639,0.00776,0.01143,0.01205,0.01436,0.0092,0.01156,0.01167,0.01229,0.01045,0.01312,1.28564,0.10858,0.04523,0.02369,0.01137,0.03076,0.02747,0.03078,0.01395,0.01599,0.01434,0.01163,0.01924,0.01889,0.01779,0.01521,0.00795,0.02039,0.05742,0.03438,0.00597,0.00532,0.01655,0.01297,0.00847,0.01264,0.00645,0.01472,0.01427,0
"DOM_C27",0.00459,0.00449,0.00315,0,0.00762,0.01188,0.01075,0.00572,0.00514,0.0028,0.00395,0.00637,0.0074,0.00821,0.00337,0.00702,0.00826,0.00988,0.00824,0.00797,0.02074,1.12554,0.0244,0.02026,0.00357,0.01949,0.01479,0.03958,0.00959,0.01846,0.00561,0.00801,0.00935,0.00624,0.00729,0.00474,0.00451,0.00435,0.0096,0.0042,0.00159,0.00421,0.00501,0.00488,0.00363,0.00429,0.00197,0.00773,0.00503,0
"DOM_C28",0.00457,0.01086,0.00387,0,0.02081,0.02457,0.01685,0.01411,0.00527,0.00265,0.00518,0.00648,0.00989,0.00733,0.00293,0.00716,0.01341,0.01148,0.00722,0.00934,0.00532,0.01694,1.06791,0.01338,0.00686,0.01716,0.01681,0.01695,0.01009,0.01076,0.00387,0.00548,0.00498,0.00459,0.00579,0.00361,0.00278,0.00237,0.00244,0.00184,0.0013,0.00294,0.0033,0.00464,0.00236,0.00268,0.00145,0.00428,0.00267,0
"DOM_C29",0.00033,0.00111,0.00021,0,0.00043,0.00071,0.00065,0.00031,0.00041,0.00023,4e-04,0.00029,0.00038,0.00041,0.00032,0.00037,0.00057,0.00045,0.00039,0.00033,3e-04,0.00054,7e-04,1.02809,1e-04,0.00131,0.00054,0.00048,0.00059,0.00035,0.00085,0.0029,0.00116,0.00102,0.00095,0.00067,0.00023,0.00018,0.00014,0.00013,8e-05,0.00011,0.00023,0.00044,0.00016,2e-04,0.00014,0.00031,0.00022,0
"DOM_C301",1e-05,3e-05,3e-05,0,2e-05,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1.00072,0.00021,3e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0.00083,0.00013,5e-05,2e-05,1e-05,1e-05,0,0,0,0,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,0
"DOM_C302T309",0.00026,0.00057,0.00054,0,4e-04,0.00036,4e-04,0.00022,0.00035,0.00021,0.00034,0.00025,0.00031,0.00029,0.00023,0.00025,0.00035,0.00033,0.00026,0.00027,0.00023,0.00038,0.00034,0.00111,0.00126,1.05587,0.00117,0.00034,0.00032,0.00025,0.00035,0.00221,0.00242,0.01089,0.00101,0.00083,2e-04,0.00016,0.00013,0.00012,0.00012,1e-04,0.00019,7e-04,0.00052,0.00017,0.00011,0.00026,0.00024,0
"DOM_C31T33",0.01144,0.0148,0.00993,0,0.01864,0.01929,0.02396,0.01135,0.00996,0.00578,0.00857,0.01159,0.01581,0.01374,0.00521,0.00943,0.01528,0.01841,0.01125,0.00792,0.0055,0.0086,0.00818,0.00592,0.00208,0.01013,1.03242,0.03046,0.01596,0.00816,0.00634,0.01786,0.02839,0.04955,0.01612,0.01076,0.00664,0.00491,0.00539,0.00411,0.00313,0.00376,0.00617,0.00952,0.00506,0.0091,0.00425,0.01406,0.00794,0
"DOM_D",0.07812,0.05657,0.04364,0,0.16455,0.19851,0.1867,0.04176,0.08798,0.04493,0.05969,0.13478,0.21177,0.19141,0.0343,0.12437,0.17565,0.22257,0.15633,0.06645,0.03501,0.05673,0.0465,0.04068,0.01155,0.05243,0.04666,1.73914,0.13973,0.04035,0.05,0.10644,0.04695,0.0398,0.08536,0.06646,0.08195,0.04278,0.04567,0.02364,0.02162,0.03575,0.03505,0.03763,0.03994,0.07808,0.0256,0.09697,0.06924,0
"DOM_E",0.00385,0.00286,0.00252,0,0.00506,0.00935,0.00609,0.004,0.00453,0.00196,0.00373,0.0137,0.00731,0.00647,0.00203,0.00468,0.00646,0.0513,0.03971,0.0049,0.00167,0.00313,0.00327,0.00219,0.00076,0.00394,0.00258,0.01257,1.15227,0.00325,0.00317,0.00417,0.00375,0.00266,0.00445,0.00382,0.0038,0.00202,0.00155,0.00121,0.00135,0.00261,0.00263,0.0025,0.00705,0.00489,0.0018,0.00501,0.00371,0
"DOM_F",0.01576,0.03415,0.00951,0,0.0192,0.02304,0.0222,0.01673,0.01342,0.00743,0.01306,0.0146,0.02022,0.01718,0.00836,0.01346,0.01932,0.02136,0.01653,0.01143,0.00733,0.01129,0.00911,0.00749,0.00266,0.00977,0.01402,0.06136,0.04045,1.11058,0.01724,0.0229,0.02011,0.01561,0.03895,0.0187,0.01545,0.01116,0.01476,0.00786,0.00839,0.13636,0.01582,0.01265,0.02351,0.02034,0.00661,0.02053,0.0162,0
"DOM_G",0.20619,0.11738,0.09485,0,0.08273,0.11254,0.10532,0.06174,0.26807,0.19711,0.1718,0.14697,0.08377,0.18648,0.32714,0.1619,0.15277,0.16166,0.11118,0.12502,0.21098,0.20259,0.16228,0.18335,0.03448,0.16126,0.16872,0.13083,0.10801,0.12598,1.14319,0.13413,0.16639,0.1466,0.13381,0.08026,0.15156,0.07809,0.06988,0.05002,0.02282,0.04117,0.06769,0.07873,0.04852,0.06208,0.11043,0.10638,0.07438,0
"DOM_H49",0.04395,0.08666,0.02085,0,0.0621,0.06642,0.10298,0.03966,0.05875,0.02641,0.06084,0.04497,0.06339,0.05874,0.0333,0.04262,0.07728,0.05857,0.03996,0.03255,0.02945,0.04083,0.03213,0.02798,0.00684,0.03237,0.03904,0.05346,0.0479,0.03632,0.0527,1.14377,0.05404,0.03791,0.11469,0.1411,0.02933,0.02189,0.01436,0.01113,0.00994,0.01235,0.01942,0.02722,0.01567,0.02422,0.01444,0.02723,0.02496,0
"DOM_H50",0.02091,0.03705,0.01625,0,0.01927,0.01561,0.02262,0.0081,0.02865,0.01747,0.03308,0.01686,0.02959,0.01841,0.0181,0.01635,0.02464,0.0243,0.01975,0.01739,0.01775,0.025,0.01779,0.01787,0.00424,0.02078,0.02355,0.01656,0.01131,0.02024,0.01585,0.02131,1.46344,0.01687,0.05777,0.01263,0.01572,0.00735,0.00607,0.00438,0.0026,0.00621,0.00705,0.01202,0.00531,0.00722,0.00716,0.01128,0.00781,0
"DOM_H51",0.01133,0.01574,0.00599,0,0.02106,0.01075,0.01278,0.00834,0.01498,0.01109,0.0135,0.01114,0.01205,0.01123,0.01091,0.01041,0.01289,0.01108,0.01071,0.00876,0.00944,0.01467,0.01057,0.01119,0.0023,0.01208,0.01251,0.01345,0.0112,0.01083,0.01294,0.01301,0.01993,1.1701,0.04618,0.05354,0.00964,0.00956,0.00736,0.00805,0.00873,0.00524,0.01162,0.0518,0.00862,0.00881,0.00508,0.01414,0.01274,0
"DOM_H52",0.01914,0.02546,0.013,0,0.01904,0.02034,0.02278,0.01327,0.02614,0.01391,0.02589,0.01757,0.02808,0.02094,0.01835,0.0164,0.02318,0.02017,0.0151,0.0142,0.01554,0.02036,0.01525,0.0149,0.00344,0.01672,0.01889,0.01832,0.01646,0.01599,0.02805,0.06258,0.16916,0.15317,1.1282,0.03847,0.01394,0.00871,0.00746,0.00575,0.00406,0.00552,0.00875,0.01676,0.00662,0.0075,0.00693,0.01238,0.00968,0
"DOM_H53",0.00403,0.00429,0.00232,0,0.00458,0.0045,0.00466,0.00365,0.00451,0.00293,0.00376,0.00511,0.00407,0.00489,0.00392,0.00401,0.00426,0.00433,0.00331,0.00285,0.00299,0.00385,0.00338,0.00283,0.00072,0.00337,0.0036,0.00891,0.00559,0.00311,0.0094,0.00709,0.0084,0.00835,0.01268,1.23774,0.00434,0.00843,0.008,0.00686,0.01019,0.0029,0.00688,0.00641,0.00621,0.00506,0.00251,0.00682,0.01062,0
"DOM_I",0.00385,0.00609,0.00226,0,0.00637,0.00916,0.00666,0.00456,0.0051,0.00318,0.00413,0.00464,0.00548,0.00634,0.00427,0.00517,0.00496,0.00522,0.00404,0.00361,0.00319,0.00482,0.00378,0.00289,0.00085,0.00399,0.00411,0.00794,0.00704,0.00422,0.00678,0.00984,0.01379,0.01942,0.01173,0.00872,1.00555,0.00619,0.00392,0.00534,0.00489,0.00244,0.008,0.01944,0.00552,0.00776,0.00364,0.01212,0.01116,0
"DOM_J58T60",0.00127,0.00137,0.00069,0,0.0018,0.00203,0.00165,0.00159,0.00183,0.00105,0.00136,0.00296,0.00181,0.00246,0.00137,0.00164,0.00162,0.00182,0.00152,0.00113,0.00127,0.00194,0.00122,0.00106,0.00031,0.00176,0.00149,0.00303,0.00213,0.00127,0.00258,0.00218,0.00284,0.00275,0.00269,0.00317,0.00185,1.04253,0.00449,0.00424,0.00209,0.00103,0.00578,0.00305,0.00198,0.00729,0.001,0.00613,0.00625,0
"DOM_J61",0.00574,0.00876,0.00447,0,0.01172,0.00801,0.00941,0.00662,0.00715,0.00483,0.00648,0.00857,0.00831,0.0082,0.00624,0.00714,0.00765,0.00758,0.00639,0.00539,0.0055,0.00736,0.00645,0.00518,0.00126,0.00617,0.00695,0.01413,0.01014,0.00637,0.01237,0.01387,0.01558,0.01339,0.01663,0.02243,0.00881,0.02028,1.10527,0.01663,0.01301,0.00729,0.0127,0.01545,0.01129,0.00918,0.00421,0.01469,0.016,0
"DOM_J62_63",0.01112,0.0126,0.00667,0,0.02043,0.01714,0.01862,0.01239,0.01597,0.00899,0.01147,0.01762,0.01911,0.02099,0.01364,0.01537,0.01699,0.01773,0.01374,0.01117,0.01223,0.0167,0.01225,0.00936,0.00283,0.01388,0.01317,0.03923,0.02273,0.01236,0.02317,0.02155,0.03175,0.03148,0.03289,0.03875,0.01315,0.03309,0.03882,1.14994,0.03105,0.00999,0.03224,0.02774,0.01842,0.01903,0.00694,0.02338,0.02233,0
"DOM_K",0.03693,0.04177,0.02301,0,0.06274,0.05213,0.04287,0.04145,0.03955,0.02175,0.02821,0.04166,0.05889,0.04774,0.02474,0.03842,0.04094,0.04225,0.03742,0.02569,0.02177,0.03479,0.02643,0.02086,0.00615,0.02845,0.02929,0.08421,0.04502,0.02787,0.04573,0.06231,0.07481,0.07208,0.0653,0.04902,0.03189,0.02846,0.02771,0.02441,1.13452,0.17027,0.03778,0.0455,0.02374,0.02527,0.01212,0.04578,0.04342,0
"DOM_L",0.01622,0.02011,0.0093,0,0.0253,0.02072,0.02376,0.01623,0.02343,0.01588,0.01745,0.02441,0.02154,0.02304,0.01896,0.02087,0.02135,0.02117,0.01733,0.01703,0.01587,0.02083,0.01625,0.01442,0.00464,0.01719,0.02155,0.03164,0.02425,0.01932,0.04672,0.03486,0.04223,0.03529,0.06351,0.04507,0.03987,0.03151,0.02896,0.02965,0.02477,1.03257,0.03193,0.03384,0.01723,0.02757,0.01283,0.04836,0.03592,0
"DOM_M",0.07279,0.06301,0.03804,0,0.13933,0.11889,0.11559,0.15133,0.09391,0.04908,0.0573,0.09039,0.12247,0.12255,0.06705,0.10022,0.10017,0.10223,0.07492,0.06609,0.07369,0.0845,0.06719,0.0626,0.01813,0.08342,0.07329,0.21051,0.11373,0.09955,0.1085,0.10086,0.14115,0.12414,0.15829,0.08752,0.07648,0.12001,0.09531,0.09259,0.09836,0.06404,1.24471,0.11354,0.07164,0.07489,0.03332,0.12102,0.1167,0
"DOM_N",0.02583,0.03547,0.01567,0,0.06709,0.05514,0.05752,0.05269,0.03416,0.01783,0.02514,0.03651,0.03853,0.04102,0.02513,0.03677,0.03906,0.03436,0.02773,0.02476,0.02195,0.03271,0.0271,0.02245,0.00692,0.03365,0.02865,0.06891,0.05404,0.03031,0.0405,0.05904,0.11644,0.10671,0.0861,0.07071,0.02924,0.04543,0.03927,0.03983,0.02922,0.02127,0.04493,1.1055,0.02655,0.03723,0.01422,0.05508,0.03798,0
