"","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_3000","stpf_4000","stpf_5000","stpf_6000","stpf_7000","stpf_8000","stpf_9000","stpf_10000","stpf_u10000","year","Einheit ID"
"1","Total",4081061,5963.785,1461,329,0.804,47904,39700,0.461,35788.5546875,30777.77734375,0.438388258218765,52604,43700,0.45,38596.59375,34111.109375,0.413345903158188,0,0,0,15700,20900,25300,32800,39700,46800,55300,60500,67000,88500,114900,125000,140100,166100,228100,316700,690200,2452400,688093,672853,301258,492524,589585,553216,428247,303470,207832,140443,95714,66871,47021,34379,24795,18950,14836,11525,9344,7633,6398,31282,10383,4651,2439,1455,886,578,468,2025,1997,NA
"2","Total",4224753,5438.253,1287,246,0.82,46377,38500,0.473,34766.94921875,29904.76171875,0.452286154031754,51621,43000,0.459,37919.203125,33714.28515625,0.423662036657333,0,0,0,12700,19100,23600,31500,38500,45700,54200,59400,65800,87000,112900,122900,137700,162800,220800,306400,667600,2426800,839408,782689,308690,506894,602406,557222,429952,304660,206025,139320,94611,65788,46146,33724,24795,18816,14778,11742,9442,7842,6521,30538,10179,4390,2371,1374,824,591,445,1978,1998,NA
"3","Total",966910,1724.311,1783,288,0.844,55140,43000,0.477,42124.20703125,34380.953125,0.454128086566925,60568,47700,0.46,45483.390625,38190.4765625,0.425195604562759,0,0,3800,17700,22500,27400,35600,43000,50800,60100,66100,73400,99000,132500,146200,166500,200600,281000,406600,1015500,4237000,190361,135863,77560,103358,125547,126207,105062,78303,55016,38800,26623,19479,13870,10520,7978,6108,4969,3894,3285,2694,2234,11020,3531,1685,921,553,385,264,194,987,1999,NA
"4","Total",956470,1867.419,1952,322,0.842,57619,44600,0.476,44131.9921875,35600,0.452573269605637,63253,49500,0.459,47619.4921875,39600,0.423083275556564,0,0,5100,18900,23700,28700,36900,44600,52600,62200,68300,76000,102800,138900,153500,175600,212800,301800,439000,1090900,4606500,177373,125673,74731,98904,120068,123525,105403,79924,57193,40200,28373,20799,14934,11341,8440,6585,5291,4319,3513,2984,2518,12040,4071,1883,1019,641,439,304,226,1129,2000,NA
"5","Total",3520279,5752.711,1634,282,0.837,53652,42800,0.47,40346.3125,33666.66796875,0.446461170911789,59563,48000,0.454,43910.94921875,37800,0.416039675474167,0,0,2600,17300,22500,27400,35600,42800,50500,59900,65600,72700,96700,127200,139500,157400,188500,261600,370800,888000,3725300,687183,523703,262845,368369,461756,468315,381817,286321,203319,141867,98221,70032,50120,36476,27360,21110,16898,13077,10608,8826,7154,35254,11591,5239,2880,1731,1135,805,543,2907,2001,NA
"6","Total",3568278,5631.394,1578,287,0.829,53391,43200,0.465,40201.77734375,34000,0.441116780042648,59319,48200,0.45,43786.44140625,38100,0.411011308431625,0,0,2500,17100,22500,27400,35800,43200,50900,60300,66200,73300,97500,127600,139600,157000,187000,257000,363100,842200,3377300,708819,536742,264197,365582,459722,470124,386984,291185,209795,146236,103377,73114,52542,38167,28742,22000,17251,13495,11048,9056,7319,35623,11191,5349,2748,1660,1127,725,502,2675,2002,NA
"7","Total",4341793,6858.315,1580,284,0.829,53228,42900,0.47,40021.609375,33800,0.445827394723892,59013,47800,0.456,43527.06640625,37900,0.416865229606628,0,0,1600,16500,22100,27000,35500,42900,50800,60400,66200,73500,98000,128400,140400,157900,187200,256200,357100,818800,3273200,864615,687138,308355,442993,557032,562293,462904,352281,252543,177851,125807,89420,64843,47838,35341,27282,21619,17164,13729,11264,9113,43659,13973,6174,3355,2034,1237,880,591,3080,2003,NA
"8","Total",4374639,7047.372,1611,289,0.829,53777,42900,0.473,40444.80078125,34000,0.447067618370056,59635,47900,0.458,44016.99609375,38100,0.417624205350876,0,0,2600,16300,21900,26800,35400,42900,50900,60600,66600,74000,99000,130100,142400,160300,191000,263000,367000,846800,3834900,869651,681137,329758,445361,554141,561206,462245,351783,253320,180477,128273,91741,66278,49371,36618,28360,22383,17598,14133,11814,9460,45868,14852,6600,3607,2047,1349,925,657,3277,2004,NA
"9","Total",4448103,7524.635,1692,290,0.834,54169,42900,0.478,40784.01953125,34000,0.452396601438522,59586,47500,0.464,44062.79296875,37900,0.425323814153671,0,0,2500,15800,21500,26500,35300,42900,51000,60900,67000,74600,1e+05,132000,144900,163500,195600,270000,381000,878600,3549300,903436,706242,338012,451349,552193,562516,463359,354689,258050,183939,131092,94811,68882,51440,38176,29173,23491,18452,15070,12281,10047,48790,15829,7211,3893,2373,1439,1030,745,3529,2005,NA
"10","Total",4494082,7486.081,1666,242,0.848,54862,43000,0.485,41349.26171875,34200,0.458111375570297,60692,47900,0.469,44907.3671875,38388.890625,0.429074585437775,0,0,2500,15600,21300,26300,35200,43000,51100,61100,67300,75000,101100,134500,148000,167600,201000,281000,399300,934300,4015000,968286,716037,346450,454157,552224,563968,465380,355189,259886,185078,132750,96086,70039,52766,39416,30268,24582,19138,15795,13061,10489,51764,17158,7987,4250,2529,1692,1125,837,3981,2006,NA
"11","Total",4555758,8379.627,1839,266,0.851,56992,44000,0.491,42927.7421875,35083.33203125,0.463858515024185,63149,49100,0.474,46727.73046875,39500,0.433615148067474,0,0,2600,16000,21800,26900,36100,44000,52300,62600,69000,77000,104300,139700,153800,175000,211600,298500,428800,1038300,4708600,953282,718527,338742,444967,540375,565094,472313,365741,268860,194904,141290,102934,75342,57149,42630,33257,26641,21084,17412,14151,11477,57738,19042,8982,4926,2951,1940,1392,1014,4883,2007,NA
"12","Total",4617790,8647.878,1873,268,0.853,57198,44100,0.492,43410.421875,35200,0.467316031455994,64774,50100,0.474,48050.94140625,40500,0.433072924613953,0,0,2800,16100,22000,27100,36200,44100,52300,62300,68600,76500,104100,140500,155300,177300,215500,306000,440400,1052200,4682800,978033,725202,341054,448271,547964,578500,491048,374764,271216,193124,138683,101607,74294,56021,42925,33154,26728,21454,17421,14375,11970,59828,20339,9670,5310,3274,2110,1459,983,5042,2008,NA
"13","Total",4681823,8688.003,1856,278,0.848,57300,44500,0.49,43536.75390625,35600,0.464979410171509,64825,50400,0.473,48158.4453125,40900,0.43161341547966,0,0,2400,15900,22000,27200,36400,44500,52900,63000,69500,77500,105400,141400,155700,177000,213400,3e+05,426400,1008500,4487400,992760,746500,338234,446276,542268,578691,493632,380606,279071,200289,145636,106908,78367,59813,45364,35244,28628,22337,18324,15009,12563,61217,20168,9443,5105,3077,1982,1300,972,4799,2009,NA
"14","Total",4744872,9024.198,1902,282,0.848,57774,44600,0.493,43909.60546875,35800,0.466918915510178,65281,50500,0.476,48525.24609375,41100,0.433993309736252,0,0,2400,15800,21800,27100,36500,44600,53100,63400,70000,78100,106600,143400,158100,180000,217600,305300,436900,1031500,4488400,1007944,759538,345064,448665,541549,580820,496481,385373,282639,204260,149268,109905,81036,61859,47245,36541,29496,23533,18870,15970,13069,64383,21148,9877,5418,3234,2106,1418,1046,5061,2010,NA
"15","Total",4795463,8973.395,1871,202,0.874,58700,44700,0.501,44554.8046875,35900,0.474235445261002,66487,50800,0.483,49331.96484375,41400,0.439959138631821,0,0,2400,15700,21700,27000,36500,44700,53200,63600,70100,78300,106700,143500,158100,180000,217900,306000,435000,1023400,4553200,1370112,772033,349106,452272,539469,585542,502214,389818,286222,207138,151361,112703,82547,63133,47781,37339,29822,23556,19049,15800,13360,64929,21889,10048,5480,3286,2072,1459,1008,5027,2011,NA
"16","Total",4860716,8475.589,1744,203,0.865,57692,44800,0.493,43935.14453125,36066.66796875,0.466199964284897,65495,50800,0.475,48726.5703125,41600,0.432408213615417,0,0,2200,15500,21500,26900,36500,44800,53400,63800,70300,78600,107200,143800,158600,180400,217900,305300,432800,1001200,4062400,1392468,788824,355938,454599,538666,588594,508762,395436,291165,211192,154618,114959,84347,65826,48818,37660,30689,24187,19548,16247,13506,66375,22176,10204,5542,3293,2057,1482,1107,4899,2012,NA
