"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"1",1,1,"ZH","Total",712354,1392.425,1955,459,0.801,56188,45500,0.461,42464.21484375,36000,0.436054348945618,60943,49600,0.45,45379.43359375,39333.33203125,0.413352966308594,0,0,0,19300,24800,29800,38000,45500,53400,63100,69100,76600,102000,134600,148200,168400,203100,285700,408200,926800,2822100,122454,101224,44711,69183,86993,94212,80518,61595,44456,31650,22643,16321,11499,8638,6188,4779,3854,2942,2479,1952,1743,14774,1997,NA
"2",2,2,"BE","Total",557536,608.046,1091,247,0.796,42766,36300,0.443,32226.078125,28300,0.421720504760742,47663,40400,0.431,35177.37109375,31800,0.394029408693314,0,0,2200,14100,19100,22900,30000,36300,42800,50500,55300,61200,80500,102400,110300,121500,140400,186900,254700,518900,1551700,96363,93054,52131,77587,88214,75503,53777,36422,24031,15975,10949,7362,5154,3573,2554,1797,1416,1070,891,698,577,4801,1997,NA
"3",3,3,"LU","Total",181949,232.036,1275,316,0.793,45570,38600,0.434,34223.65625,29900,0.413561522960663,50635,43000,0.424,37146.28515625,33333.33203125,0.386263906955719,0,0,0,17700,21800,25700,32500,38600,44800,52300,56900,62600,81500,104100,113200,125900,148700,204200,283000,628600,2082000,24092,24499,16676,24498,29303,27160,19498,12614,8474,5516,3508,2333,1634,1208,840,630,456,390,334,258,217,1903,1997,NA
"4",4,4,"UR","Total",20940,16.699,797,222,0.775,36541,34900,0.483,27219.8828125,26700,0.470156878232956,40578,38200,0.48,29570.560546875,30200,0.448028564453125,0,0,0,0,0,17300,27900,34900,41400,48400,52200,57000,70300,85800,91400,100100,115300,148600,213200,486600,NA,5056,5769,914,2265,3149,3038,2194,1476,786,443,272,143,126,76,47,38,24,18,20,18,10,114,1997,NA
"5",5,5,"SZ","Total",67211,111.18,1654,324,0.832,49073,39100,0.473,36470.8671875,30000,0.452158600091934,54415,43700,0.457,39590.84765625,33700,0.422082453966141,0,0,3300,15200,20500,24900,32400,39100,45900,53900,58800,65000,85900,114700,126200,144800,176900,262100,389100,1009200,NA,12149,10173,6287,8088,9898,9557,7102,4872,3161,2061,1414,911,663,509,346,299,226,178,150,138,89,1089,1997,NA
"6",6,6,"OW","Total",17426,19.383,1112,256,0.811,42468,36000,0.443,32132.591796875,27751.322265625,0.426870107650757,47637,40100,0.432,35057.73828125,31300,0.397470653057098,0,0,4000,14600,19000,23100,30100,36000,41900,48500,52800,57800,75800,96300,104600,115500,135000,186300,255300,480600,NA,3033,2777,1808,2326,2962,2637,1735,1048,635,444,265,189,125,95,65,49,31,22,19,22,17,155,1997,NA
"7",7,7,"NW","Total",20556,40.927,1991,366,0.843,53226,41000,0.479,39993.765625,31822.91796875,0.458364933729172,58389,45400,0.462,43040.140625,35100,0.428255587816238,0,0,5100,18400,23100,27300,34400,41000,47300,55400,60400,66500,88800,119000,131100,150600,193900,309300,475300,1429200,NA,3220,2758,1670,2464,3065,3063,2312,1538,1019,657,468,303,235,159,126,93,69,51,49,37,25,395,1997,NA
"8",8,8,"GL","Total",21832,23.078,1057,313,0.769,44065,39200,0.406,32671.71484375,29500,0.386220157146454,49312,43500,0.398,35736.76171875,33100,0.358374953269958,0,0,2500,18800,23200,26700,33100,39200,45100,51700,55600,60800,77600,97700,105600,117300,137000,181800,248100,478800,NA,3224,2955,1660,3056,3557,3482,2597,1603,931,620,353,248,151,106,98,64,44,52,31,26,17,181,1997,NA
"9",9,9,"ZG","Total",50849,139.237,2738,521,0.827,63473,46800,0.494,49370.19921875,38200,0.468970954418182,64919,47600,0.494,50266.20703125,39100,0.4660424888134,0,0,5700,20500,26100,30900,39100,46800,55100,65700,72400,80900,111100,150500,169100,196500,248700,361900,520900,1507400,NA,8063,6034,3937,4721,6184,6611,5469,4310,3178,2278,1673,1246,961,727,540,414,322,233,218,175,140,1478,1997,NA
"10",10,10,"FR","Total",121184,122.906,1014,249,0.787,43281,36900,0.406,31742.611328125,28000,0.372775375843048,48877,41300,0.398,35045.69921875,31866.666015625,0.344945132732391,0,3000,8300,17300,20800,24300,30900,36900,43000,50300,54800,60300,77900,97700,104800,115100,133300,170600,233800,468500,1960500,19342,14153,14529,17942,20256,17442,12268,8132,5252,3383,2198,1430,968,637,503,366,289,205,165,128,95,843,1997,NA
