"","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_3000","stpf_4000","stpf_5000","stpf_6000","stpf_7000","stpf_8000","stpf_9000","stpf_10000","stpf_u10000","year","Einheit ID"
"1","Total",2032655,1433.444,705,121,0.827,26067,18900,0.377,16840.115234375,13000,0.367129743099213,30736,23900,0.346,19494.458984375,15555.5556640625,0.316904485225677,0,10400,11400,13400,14300,15200,17000,18900,21300,24500,26600,29400,40300,57000,64500,76100,96500,143100,209000,504000,1674100,0,64570,1043431,534577,182807,76050,38705,22084,14382,10179,7673,5756,4662,3637,2972,2516,1993,1719,1503,1318,1062,5838,2156,1002,559,366,236,161,153,588,1973,NA
"2","Total",2284951,1933.221,846,158,0.807,29917,22800,0.37,19374.74609375,15400,0.353641986846924,34616,27800,0.345,22078.96875,18095.23828125,0.31257164478302,0,10800,12400,15200,16500,17800,20200,22800,25800,29600,32100,35300,47300,64400,71800,83200,103500,150500,218200,501200,1696500,0,61294,823812,729494,330480,138956,67521,37009,22267,14732,10534,8019,5992,4715,3800,3244,2630,2180,1900,1509,1397,7265,2621,1270,671,395,265,203,132,644,1975,NA
"3","Total",2417384,2167.223,897,223,0.777,31640,25000,0.364,20629.99609375,16791.666015625,0.346607536077499,36334,29900,0.34,23372.138671875,19533.333984375,0.308943152427673,0,10700,12400,15700,17300,18900,21900,25000,28400,32800,35600,39100,51600,68300,75200,85400,103700,147500,209900,458200,1475500,0,70902,737560,733251,418110,195412,95963,51799,30514,19005,12764,9011,6806,5332,4130,3429,2811,2253,1989,1577,1445,7507,2577,1214,662,345,224,169,110,513,1977,NA
"4","Total",2538815,2420.613,953,252,0.769,32807,25900,0.366,21567.75390625,17666.666015625,0.345179796218872,37481,30700,0.342,24333.53125,20428.572265625,0.308639854192734,0,10800,12700,16200,17900,19500,22700,25900,29700,34300,37300,41000,54100,71500,78400,88900,107500,150900,212300,456300,1455400,0,75923,718706,745414,458942,229947,113742,62553,36452,22776,15037,10855,7977,6061,4783,3871,3174,2549,2206,1843,1647,8227,2803,1259,638,369,228,158,143,532,1979,NA
"5","Total",2662298,2887.096,1084,303,0.76,34817,27600,0.373,22966.2890625,18944.4453125,0.349288940429688,39456,32200,0.35,25737.658203125,21714.28515625,0.314894884824753,0,10700,12800,16700,18600,20500,24000,27600,31600,36800,40000,44000,58200,76800,84200,95600,115200,160600,223500,478100,1515000,0,90965,667415,734490,501836,277667,143223,79303,46745,29081,19258,13499,10001,7500,5820,4853,3798,3209,2634,2217,1948,9689,3310,1413,783,426,282,165,135,633,1981,NA
"6","Total",2787078,3311.226,1188,301,0.774,36997,29100,0.378,26187.2890625,21266.666015625,0.356527060270309,43451,35500,0.356,30110.259765625,25200,0.314470201730728,0,11300,13400,17600,19600,21500,25300,29100,33400,38800,42200,46500,61900,82200,90400,102600,123700,172500,241300,520800,1729600,0,86114,634655,732353,548797,314508,168634,95290,57510,36447,24100,16753,12383,9241,7090,5954,4718,3831,3205,2695,2296,11717,3880,1862,958,553,355,215,176,788,1983,NA
"7","Total",2901058,3680.5,1269,315,0.777,39623,31000,0.38,28414.4140625,23000,0.357244431972504,46493,37800,0.358,32655.8515625,27300,0.315588384866714,0,12000,14200,18600,20700,22800,26800,31000,35700,41600,45400,50100,66800,88500,97100,110000,132300,184100,257000,555000,1923300,0,82570,589560,705891,578019,359870,206741,119505,72960,46563,30860,21377,15229,11604,8759,7072,5704,4439,3884,3244,2758,14005,4646,2171,1127,672,411,267,214,936,1985,NA
"8","Total",3107909,4368.44,1406,341,0.786,46179,36200,0.376,33842.75,27666.666015625,0.346769392490387,50624,40500,0.37,36444.55859375,30300,0.32284215092659,0,13500,16800,22600,25000,27200,31600,36200,41600,48300,52500,57900,76500,101100,111300,126400,152900,214000,302000,672800,2375600,0,92662,357933,673483,652038,462851,297740,181964,111575,70677,46849,31943,23202,17032,12837,10134,8325,6715,5554,4690,3942,19930,7098,3130,1731,991,602,470,304,1507,1989,NA
"9","Total",3222711,5098.574,1582,391,0.783,50606,39700,0.378,37257.6171875,30400,0.3498415350914,55409,44200,0.371,40067.41015625,33291.66796875,0.325869262218475,0,14400,18200,24700,27300,29800,34700,39700,45500,52900,57600,63400,83700,110500,121200,137800,166000,232000,326700,743300,2657400,0,90115,300712,584000,653041,509261,350164,228036,145107,93881,62207,43140,30444,22440,16732,12921,10668,8473,6779,5863,4857,24765,8476,3767,2050,1184,800,549,406,1873,1991,NA
"10","Total",3268548,5551.152,1698,450,0.77,55786,44400,0.371,41308.234375,34100,0.346025258302689,61021,49400,0.364,44380.3671875,37238.09375,0.322226375341415,0,15700,20100,27500,30400,33300,38800,44400,51000,59200,64400,70900,93100,121300,132600,149300,177900,245000,341600,759200,2744500,0,94569,223827,470292,588448,535841,398432,281006,190397,127591,86777,60701,42415,30838,22904,17520,13632,10661,8846,7231,6017,29248,9575,4342,2312,1307,841,567,438,1973,1993,NA
"11","Total",3392968,5963.785,1758,483,0.764,56824,45600,0.369,42390.98046875,35200,0.343370646238327,62072,50600,0.362,45505.81640625,38400,0.319418162107468,0,15800,20700,28000,31100,34000,39700,45600,52200,60600,65800,72400,94800,122900,134200,150900,180000,248800,345500,756200,2801800,0,97838,210576,474481,588728,552504,427667,303027,207457,140173,95504,66685,46913,34268,24729,18900,14785,11487,9314,7612,6377,31148,10343,4624,2430,1451,881,576,465,2025,1995,NA
"12","Total",3385345,5438.253,1606,416,0.775,56848,45600,0.366,42555.2421875,35300,0.341525942087173,62764,51300,0.359,46088.046875,38904.76171875,0.315207570791245,0,16400,21100,28400,31400,34200,39800,45600,52200,60500,65700,72200,94500,122700,133900,150500,179000,244500,340100,745300,2706500,0,100652,188488,472227,601665,556818,429661,304471,205913,139214,94526,65708,46090,33672,24758,18778,14748,11721,9422,7819,6503,30411,10143,4373,2360,1369,822,590,445,1978,1997,NA
"13","Total",776549,1724.311,2220,480,0.805,67081,50600,0.382,51159.86328125,40300,0.355927735567093,72964,56500,0.374,54759.91796875,43900,0.332072049379349,16100,20000,24600,32300,35400,38500,44400,50600,58100,67300,73300,80800,108400,146000,161400,183900,222500,315200,457800,1158100,4950500,0,3607,33213,89694,125505,126186,105049,78298,55010,38797,26622,19479,13868,10520,7978,6107,4969,3894,3285,2694,2234,11020,3531,1685,921,553,385,264,194,987,1999,NA
"14","Total",779097,1867.419,2397,514,0.806,69222,51900,0.388,52920.828125,41400,0.36156901717186,75301,57900,0.379,56633.62109375,45066.66796875,0.336929440498352,16100,20100,25000,32800,36100,39300,45400,51900,59600,69100,75300,83300,112100,152100,169000,193200,235600,336000,489600,1234400,5358700,0,3623,32354,86128,119988,123493,105381,79914,57187,40196,28369,20798,14932,11340,8437,6585,5291,4317,3513,2984,2518,12039,4070,1883,1019,641,439,303,226,1129,2000,NA
"15","Total",2833096,5752.711,2031,464,0.798,65220,50300,0.372,48954.015625,39466.66796875,0.345596224069595,71716,56700,0.365,52831.73046875,43300,0.31932333111763,11000,19800,24400,32200,35300,38300,44100,50300,57600,66700,72500,79800,105200,139100,152700,173100,208400,291600,414200,1013900,4319500,0,25664,120596,321966,461565,468222,381749,286283,203304,141848,98207,70022,50116,36470,27353,21108,16895,13075,10606,8822,7152,35247,11589,5238,2879,1731,1134,805,543,2907,2001,NA
"16","Total",2859459,5631.394,1969,479,0.787,65137,50900,0.364,48950.6171875,40000,0.336827665567398,71662,57200,0.358,52850.35546875,43800,0.311225861310959,12200,20000,24800,32600,35700,38700,44600,50900,58200,67400,73300,80600,106100,139500,152700,172600,206400,286100,405700,957700,3890500,0,23218,118834,316213,459467,470017,386919,291143,209774,146215,103369,73105,52534,38164,28738,21999,17250,13492,11047,9056,7319,35616,11188,5348,2747,1660,1127,725,502,2673,2002,NA
