"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"1","1","ZH","Total",389744,374.132,960,142,0.839,29778,20800,0.409,19124.771484375,14200,0.395573168992996,34462,25900,0.377,21814.1796875,16809.5234375,0.348467439413071,0,10600,12000,14500,15500,16600,18600,20800,23500,27100,29500,32700,45700,66700,76600,91400,116800,178200,273600,724700,2192100,0,12086,167508,115669,43202,18359,9528,5345,3509,2515,1924,1458,1180,931,735,646,481,452,380,314,253,3269,1973,NA
"2","2","BE","Total",303854,178.899,589,114,0.81,24740,18400,0.347,16009.76171875,12733.3330078125,0.338934063911438,29550,23600,0.317,18750.33203125,15300,0.287231534719467,9700,10600,11500,13300,14100,14900,16600,18400,20700,23800,25800,28500,38500,52800,59200,69100,87500,127400,180900,382100,1260600,0,5971,166700,77251,25985,10770,5282,2955,1846,1285,964,785,619,505,408,303,288,218,183,168,132,1236,1973,NA
"3","3","LU","Total",81579,45.032,552,105,0.819,23447,17500,0.354,15276.8603515625,12266.6669921875,0.352194428443909,27919,22200,0.327,17755.125,14600,0.298640489578247,0,10200,11200,12900,13600,14400,15900,17500,19500,22300,24100,26500,35900,50100,56000,65300,82500,125300,179000,398200,NA,0,2813,47611,18846,5820,2386,1230,692,451,318,220,167,138,134,95,72,78,48,53,45,29,333,1973,NA
"4","4","UR","Total",9252,6.234,674,94,0.876,23538,16400,0.386,15443.017578125,11541.6669921875,0.400138437747955,28380,21700,0.351,18081.69921875,14000,0.334950625896454,0,10300,11000,12500,13200,13800,15000,16400,18100,20500,22100,24000,30500,40000,44400,49400,60300,99100,154600,NA,NA,0,281,6008,1994,506,195,80,34,36,15,11,13,11,2,8,10,4,3,3,3,3,32,1973,NA
"5","5","SZ","Total",25179,12.827,509,107,0.807,23114,17600,0.34,15019.08984375,12266.6669921875,0.342081397771835,27795,22500,0.315,17560.978515625,14611.111328125,0.286783814430237,0,10300,11300,13000,13700,14500,16000,17600,19600,22100,23800,26000,34500,47500,53500,62600,77100,114500,169900,426800,NA,0,784,14758,6090,1737,673,317,215,133,86,72,44,30,24,32,33,11,15,14,10,10,91,1973,NA
"6","6","OW","Total",5559,3.132,563,99,0.835,23094,16800,0.352,14964.009765625,11900,0.361509770154953,27725,21400,0.322,17446.62109375,14200,0.300599455833435,9700,10600,11400,12800,13400,14100,15400,16800,18400,20800,22400,24500,33900,48200,53700,63500,79500,109300,144100,NA,NA,0,121,3608,1111,314,147,70,33,44,29,11,18,10,10,5,1,6,3,1,0,1,16,1973,NA
"7","7","NW","Total",7180,5.134,715,102,0.863,24601,17200,0.391,15989.416015625,12000,0.395206660032272,29099,22000,0.357,18436.255859375,14200,0.335697799921036,1400,10300,11200,12800,13500,14100,15600,17200,18900,21500,23100,25500,34200,48700,55300,65800,86800,143200,203000,NA,NA,0,221,4405,1592,448,166,95,54,36,30,17,16,12,7,5,12,6,9,2,6,2,39,1973,NA
"8","8","GL","Total",11823,5.905,499,110,0.802,22974,17900,0.324,14871.759765625,12047.619140625,0.323220014572144,27811,23100,0.299,17585.060546875,14700,0.269985854625702,9700,10500,11400,13000,13900,14600,16200,17900,19800,22200,23700,25900,33800,45100,49800,59400,76800,122100,175400,347900,NA,0,221,6954,3064,813,299,122,77,51,20,33,20,27,21,12,18,3,6,4,9,2,47,1973,NA
"9","9","ZG","Total",24562,17.66,719,128,0.819,27258,19800,0.364,17509.619140625,13900,0.347508698701859,32045,24900,0.334,20197.970703125,16416.666015625,0.297869980335236,9800,10900,12100,14200,15100,16000,17900,19800,22400,25800,28100,31100,41800,58600,66500,77400,98100,144500,214000,475100,NA,0,341,12070,6791,2620,1047,510,282,205,129,92,60,51,48,51,37,24,17,17,22,14,134,1973,NA
"10","10","FR","Total",47312,20.524,434,96,0.796,21922,16700,0.321,14028.2490234375,11666.6669921875,0.315092951059341,26516,21500,0.297,16549.330078125,13900,0.260354548692703,9700,10400,11100,12400,13100,13700,15100,16700,18500,21200,23000,25200,33900,45700,50700,57600,69600,99200,146100,316900,NA,0,1094,30017,9852,3134,1268,632,378,213,146,114,70,50,45,48,29,22,27,20,15,13,125,1973,NA
"11","11","SO","Total",68285,39.841,583,119,0.806,24476,18700,0.35,15484.435546875,12500,0.340830564498901,29336,24100,0.322,18192.734375,15100,0.290649563074112,0,10400,11500,13400,14200,15100,16800,18700,20900,23800,25700,28100,36900,50200,55800,64500,83400,125000,182200,427500,NA,0,2119,36146,18454,5867,2253,1097,570,326,246,213,137,123,100,81,64,47,50,43,35,31,283,1973,NA
"12","12","BS","Total",100698,90.379,898,143,0.832,29279,21000,0.393,19817.7265625,15133.3330078125,0.369796723127365,33618,25400,0.366,22487.517578125,17750,0.328137934207916,0,10600,11900,14400,15500,16600,18700,21000,23700,27200,29600,32700,44900,64900,74000,87800,112200,171700,257600,661800,1794800,0,2631,43278,30336,11609,4696,2412,1334,861,653,455,354,287,211,184,137,123,113,100,87,75,762,1973,NA
"13","13","BL","Total",71059,68.61,966,171,0.809,30933,22500,0.386,18843.478515625,14300,0.370834320783615,36054,28200,0.353,21696.63671875,17133.333984375,0.325581401586533,0,11000,12600,15400,16600,17700,20000,22500,25500,29400,32100,35700,49600,70200,79200,92800,114200,166700,245100,585400,NA,0,1598,26664,22264,9343,4174,2189,1253,777,553,394,302,252,178,136,128,78,98,73,58,40,507,1973,NA
"14","14","SH","Total",23301,14.846,637,135,0.787,26194,20200,0.339,16720.923828125,13500,0.333070367574692,31062,25300,0.312,19474.314453125,16200,0.286153554916382,9200,10800,12200,14500,15500,16500,18200,20200,22500,25500,27600,30200,40600,55400,61900,73000,91300,132200,188500,445300,NA,0,453,10961,7129,2338,963,468,227,161,121,88,55,56,36,37,19,24,19,14,17,13,102,1973,NA
"15","15","AR","Total",16079,7.829,487,92,0.827,22542,17100,0.331,14835.2353515625,12000,0.330651074647903,27119,21700,0.308,17377.46875,14400,0.276439756155014,9700,10400,11200,12700,13500,14200,15600,17100,18900,21300,22900,24800,33000,46700,53000,62600,79600,116800,167900,411300,NA,0,359,10043,3654,944,370,190,123,77,66,47,25,28,25,17,10,13,9,9,6,8,56,1973,NA
"16","16","AI","Total",3073,1.386,451,87,0.823,21283,15900,0.335,14086.646484375,11523.8095703125,0.336210757493973,25966,20800,0.311,16624.767578125,13800,0.276271134614944,3300,10100,10800,12000,12600,13200,14500,15900,17700,20100,21700,24000,31600,45000,50800,58200,72000,110000,NA,NA,NA,0,98,2036,591,152,69,40,21,17,6,9,3,5,4,2,1,1,2,0,4,0,12,1973,NA
"17","17","SG","Total",125759,65.403,520,101,0.824,23196,17500,0.337,15215.4501953125,12333.3330078125,0.330675452947617,27798,22300,0.314,17767.58984375,14700,0.277779668569565,9700,10500,11300,12900,13700,14400,15900,17500,19400,21900,23600,25700,34000,47400,53300,62600,79100,119900,180300,399500,1359100,0,2768,75645,30265,8271,3118,1578,1013,635,427,330,243,209,141,133,126,95,68,63,62,55,514,1973,NA
"18","18","GR","Total",49541,31.404,634,111,0.822,23583,17100,0.398,15553.7333984375,12100,0.394154340028763,27924,21700,0.365,17959.478515625,14400,0.33921954035759,1400,4800,10100,11900,12800,13700,15300,17100,19300,22300,24300,27100,38100,55000,62600,75000,93800,135000,189200,370800,NA,0,4619,26308,10581,3527,1568,793,484,341,244,193,156,110,77,83,51,50,32,42,36,25,221,1973,NA
"19","19","AG","Total",132941,75.1,565,125,0.785,25098,19400,0.33,15911.2470703125,13000,0.323346704244614,30134,24800,0.303,18703.64453125,15615.384765625,0.273298501968384,9800,10800,11900,13900,14800,15700,17400,19400,21700,24700,26700,29300,38800,52300,58200,67000,83100,120200,171700,368200,1139900,0,2128,67914,37641,12890,4989,2385,1355,804,557,403,302,239,180,146,136,104,88,77,82,50,471,1973,NA
"20","20","TG","Total",65236,29.671,455,103,0.803,22742,17900,0.323,14704.7646484375,12133.3330078125,0.32904314994812,27489,22700,0.3,17307.345703125,14733.3330078125,0.27513325214386,0,10400,11400,13200,14000,14800,16300,17900,19700,22100,23600,25600,33300,44900,49800,57100,72600,110300,168000,340100,NA,0,1921,37891,16895,4248,1686,779,434,276,198,146,105,95,65,54,47,38,40,31,36,17,234,1973,NA
"21","21","TI","Total",75965,53.7,707,104,0.847,23561,16500,0.439,15480.224609375,11444.4443359375,0.435680389404297,27542,21000,0.403,17771.275390625,13700,0.383229702711105,0,1700,9300,11400,12200,13000,14700,16500,18800,21900,24000,26700,38800,57500,66700,79800,101800,152200,210300,459500,NA,0,8887,39672,15213,4952,2395,1299,739,536,383,309,257,181,170,101,86,92,80,75,57,51,430,1973,NA
"22","22","VD","Total",167186,107.814,645,113,0.821,25250,18300,0.367,16479.39453125,12800,0.355495810508728,29728,23100,0.336,19092.041015625,15285.7138671875,0.306067556142807,3000,10400,11400,13200,14000,14800,16500,18300,20600,23800,25900,28800,39800,57100,64600,76100,95700,137700,197500,425700,1360900,0,4832,90983,40704,14043,5860,3166,1767,1247,879,680,480,391,292,233,231,153,116,120,97,99,813,1973,NA
"23","23","VS","Total",62564,22.953,367,102,0.755,20110,16400,0.329,12715.0498046875,10900,0.335387527942657,24939,21600,0.304,15321.83984375,13400,0.275988280773163,1200,4000,10200,11900,12700,13400,14900,16400,18200,20500,22000,23900,31200,41800,46100,52400,64600,93200,132400,237300,NA,0,5213,37303,13092,3488,1404,611,372,251,164,111,98,85,47,44,47,27,31,24,23,20,109,1973,NA
