period,Switzerland,Germany,Denmark,France,Norway,Sweden,USA
1960,NA,102.5771972,104.0043107,107.4851909,113.8627869,105.462947,111.2915988
1961,NA,104.6012276,107.3233948,109.76195,113.0652539,106.0083827,110.4012838
1962,NA,105.2670509,107.4639699,109.7307888,117.0635285,108.1644341,109.4436084
1963,NA,105.6025593,106.9031092,110.8315959,117.4927702,109.3512631,108.8416211
1964,NA,104.0727926,105.6362509,110.1625938,115.3562389,107.8452282,108.3120127
1965,NA,104.8577364,108.9905817,109.3061657,114.4990831,107.4916494,107.1096179
1966,NA,105.7970659,109.9658445,107.8262627,116.5519374,108.5848435,107.4402357
1967,NA,104.4074253,110.5632164,107.1143159,119.2116591,108.0662322,108.6030703
1968,NA,103.3649141,109.7144951,109.715078,120.3064369,109.8470008,109.0197049
1969,NA,102.7146995,108.8297102,107.6907605,118.9811631,109.5022574,110.8258971
1970,NA,106.6306005,110.5119825,108.0235485,113.7604495,107.6753321,111.8863738
1971,NA,107.601848,112.4852557,108.297907,116.9144235,108.2940262,110.0072493
1972,NA,108.7151017,108.8454359,107.4630613,117.2023581,107.6407353,110.0185157
1973,NA,110.4361564,107.9663787,106.8424887,115.9298525,103.638828,109.5039498
1974,NA,112.3829463,113.1281362,108.7571689,114.7763209,105.472541,110.4369757
1975,NA,111.8525582,113.6338981,113.5301389,118.8731877,107.1587325,108.1632044
1976,NA,110.7425947,111.6711704,113.6199277,120.6616045,111.9013616,107.3478201
1977,NA,110.9159726,111.2338923,114.2489479,120.737093,115.39734,107.4294181
1978,NA,110.5988961,110.2058568,113.45828,120.0409367,115.4310504,107.4593882
1979,NA,109.6392003,109.9680009,112.4773147,113.4956579,113.1477324,107.9834142
1980,NA,111.1380331,111.2595582,113.6484593,107.5683252,111.9685339,109.2738873
1981,NA,111.1382964,109.5945736,114.0410075,105.8972368,111.0158885,107.5739381
1982,NA,109.998235,108.3817289,113.3781322,106.4855156,108.6456521,109.2327106
1983,NA,107.649856,107.1420858,111.9681681,103.5704508,104.2493192,107.0472358
1984,NA,106.5630072,104.2595739,110.3592139,100.2496315,101.5156969,105.8978895
1985,NA,105.8722002,103.3851697,108.6358965,99.7650111,102.3089759,105.8770576
1986,NA,105.6827349,103.3989881,105.7417937,108.529307,101.4251369,106.7068038
1987,NA,107.2982807,106.3969278,104.6336117,111.3998624,100.9940968,107.826233
1988,NA,105.8204696,107.585116,101.8996684,113.0182829,100.1572076,108.3207325
1989,NA,103.4548311,105.7162699,100.1270483,107.2236421,101.5682157,107.0067274
1990,NA,102.5794371,105.166269,100.6746681,104.7920109,104.7570663,107.688319
1991,99.8625331,103.0647248,104.346556,100.8813357,103.6520896,102.5356467,108.0553471
1992,100.8681511,104.5101176,103.7875631,100.5675062,104.3805324,103.2107489,108.1186754
1993,100.8456691,104.3828873,103.7148377,100.7046517,101.4012001,100.6500702,107.2869173
1994,99.0181868,102.8419182,99.4805837,98.9462772,101.228764,99.3838943,105.8327426
1995,100.0430376,103.1539962,99.276341,98.727486,99.5941782,95.7729262,105.6047101
1996,100.0829274,102.8222738,99.3768474,98.323192,97.0513867,98.9051351,105.0251721
1997,100.2015052,101.3196088,98.6248145,97.3794119,96.9608783,98.7635824,105.2016764
1998,99.2647095,100.7756429,100.5174692,96.2650829,104.4734687,94.0038749,106.9214272
1999,99.3554728,101.3089595,100.7000168,96.8518053,102.1966004,94.7293757,106.9111393
2000,97.2618347,102.7141158,97.8952435,96.4977408,90.5024659,97.6018036,108.6297013
2001,99.9537885,101.3897876,99.4706239,96.6848598,92.4545743,100.0216144,108.6153162
2002,102.4434026,100.9539828,100.4371329,97.4404983,97.0499188,99.4969632,106.7835745
2003,100.9732414,100.9918588,101.1513004,97.6524365,96.2100671,98.5300186,105.7564233
2004,98.460416,99.3464833,99.0100272,96.7936888,91.6718823,97.3759026,104.9085605
2005,97.4547103,98.4484733,98.5521371,96.9173566,87.1236608,97.2468209,103.300508
2006,95.3879815,96.1568197,98.3450851,96.5898307,85.3453927,95.802808,103.1604592
2007,94.7690953,94.269731,101.0028287,95.6130095,88.8919665,97.204932,103.5100057
2008,95.0190966,95.9598788,102.4606736,96.0719996,87.7108118,99.0710617,103.5312882
