period,Switzerland,Germany,Denmark,France,UK,Norway,Sweden,USA
1960,NA,NA,64.3408933,72.7273197,64.0475552,62.8566918,63.5280213,68.328264
1961,NA,NA,65.1714306,74.1612961,65.2541332,62.5227226,63.8198093,67.7772535
1962,NA,NA,65.7554965,74.1445473,65.5725508,64.967516,65.7303385,67.1675179
1963,NA,NA,66.0990811,75.1338849,65.9808504,64.8835153,66.5280891,66.8404647
1964,NA,NA,65.4131123,74.9914278,65.8479016,64.3081162,65.4994297,66.4746482
1965,NA,NA,67.8909725,74.1799181,65.9809018,63.6224897,65.6932039,65.5978482
1966,NA,NA,68.9722708,73.1671255,66.7457873,65.145381,66.7075844,65.4540395
1967,NA,NA,69.8156909,72.3392277,66.6509489,66.8096712,66.4206035,66.2849071
1968,NA,NA,70.0383731,73.3003655,65.6082755,66.9932752,67.9011477,66.6993272
1969,NA,NA,69.3963565,72.0645551,65.1175714,66.7709221,67.5716478,67.8895649
1970,NA,NA,70.5317197,71.7776404,65.1014692,65.3853551,66.1985486,68.7457232
1971,NA,NA,71.462691,71.8275205,64.2395255,67.9043323,68.1098139,67.7044712
1972,NA,NA,69.1546022,71.3571035,63.5895316,67.9485424,67.2207488,67.4857742
1973,NA,NA,67.9617677,70.8622404,62.8792441,66.8848731,64.9421964,67.1248905
1974,NA,NA,70.1466297,71.3757138,66.8960767,65.170154,65.0822972,67.7057282
1975,NA,NA,70.9379237,74.8961508,70.4545803,67.2547472,65.9011644,66.2354994
1976,NA,NA,69.9882469,75.4665382,68.6866859,68.2072085,68.6928914,65.5779787
1977,NA,NA,70.2461397,75.1853937,65.0515763,68.1024231,71.3327277,65.4776656
1978,NA,NA,70.3218662,75.255364,64.4361147,66.6805834,70.2588345,65.185688
1979,NA,NA,70.8573769,75.1257838,64.2699973,63.0276513,68.4545443,65.2532985
1980,NA,NA,71.5075228,75.464834,65.9714748,59.2328902,66.0972211,66.1307341
1981,NA,NA,70.2583752,75.6757893,65.8329005,58.6122595,66.2172501,65.3271933
1982,NA,NA,68.7751669,75.4387524,64.1913062,58.6241256,63.757861,66.1682883
1983,NA,NA,68.0622342,74.4201637,62.7018277,57.4406457,61.7563051,64.7765799
1984,NA,NA,66.3423809,73.3643836,63.0026638,55.5430991,60.3178073,64.078679
1985,NA,NA,66.1609274,72.2667379,61.9644187,55.9904287,60.8682152,64.0345914
1986,NA,NA,67.2420799,70.0690661,62.6616174,62.2207969,61.0170793,64.4731064
1987,NA,NA,69.0466606,69.5116773,61.2153529,63.539859,61.2844429,65.1613011
1988,NA,NA,69.2759545,67.9166843,61.0145384,63.8197402,60.5414473,65.4974605
1989,NA,NA,67.3711213,66.6130471,61.7326729,59.7827975,61.6674922,64.7003075
1990,NA,NA,66.5365272,66.9214945,62.5311631,58.0700975,63.863061,65.1754326
1991,65.3705968,64.2353885,65.9904715,66.9966951,63.7425613,57.4357318,63.7066049,65.6098285
1992,65.9018506,65.3381863,65.1261926,66.5528053,63.538223,58.1528204,62.5181708,65.6311449
1993,65.9142446,65.4875598,65.3807581,66.7283752,62.1276559,56.8559692,60.1541559,65.0207359
1994,64.7221907,64.7078644,63.1373099,66.1419873,59.6673301,57.1261949,59.0996459,64.3015851
1995,65.7928174,64.6692181,63.0914069,66.1988658,59.831649,56.6241781,56.9624654,64.0328791
1996,65.6754776,64.4394517,63.4330449,66.3098006,58.2310575,55.2524448,59.6916193,63.6201893
1997,65.8255528,63.5952219,63.2965748,65.7340469,59.9515762,55.5088144,59.6352091,63.712766
1998,65.3218497,63.3037734,65.1782728,64.909309,59.7429302,60.0497869,58.8041426,64.6977423
1999,65.9278964,64.0175566,65.2370282,65.2531172,61.84013,58.652753,59.2625794,64.6013262
2000,64.816008,64.953959,62.855691,64.6376791,62.7784474,51.2540119,60.2010264,65.598033
2001,66.3849672,64.0814117,63.9917065,64.4003674,63.9639707,52.1989053,61.8748817,65.4892155
2002,67.7923537,63.8315731,64.6908961,64.8529267,62.9705236,54.924144,61.635496,64.5594786
2003,66.7982642,64.0277523,65.1049075,64.9687894,63.2116394,54.2031518,60.940168,63.9579023
2004,65.2193571,62.8316765,63.9325117,64.6463557,64.4279723,51.5797094,59.9779065,63.5281838
2005,64.5106589,62.3110443,64.0197087,64.9051818,64.0764005,48.8631906,60.0035384,62.5777148
2006,63.2155787,60.830161,63.8917442,64.610251,64.5631209,47.9069681,58.7734435,62.5489914
2007,62.9584423,60.0527665,65.6920371,63.823593,65.8436314,50.1361957,59.6584282,62.7218274
2008,63.1474514,61.1466938,65.9951983,63.9278426,64.7330665,48.7872426,61.0526597,62.7113826
2009,65.287031,64.0449253,68.2591566,65.9766591,65.7412943,54.2872943,62.4475888,61.6335837
2010,63.8333659,62.7267593,65.5194565,65.7377128,66.1548177,52.3758002,59.9881573,60.5270704
2011,64.8132112,62.437838,65.1149375,66.1034926,65.9542354,51.437054,60.3381985,60.4629736
2012,65.3609412,63.6687213,64.1442463,66.9138766,65.6666378,51.6023177,62.5801628,60.355194
2013,65.8251818,63.7929846,64.0867899,67.5334964,65.8155685,52.650277,63.1357514,59.8471959
2014,65.5948095,63.5098428,63.808638,67.4049945,64.9520887,53.6743279,62.4484656,60.0008036
2015,66.1044207,63.8612869,64.1213569,66.6263596,64.9141817,56.1090543,61.0352269,60.5052907
2016,65.7802627,63.7819906,63.8688204,66.9235656,65.2372329,57.5997933,62.1590597,60.4586569
2017,66.0193351,63.6098011,63.2223993,67.3612399,64.7457167,55.655014,62.0123063,60.5642524
2018,64.93537,64.448682,63.5766601,67.2904106,64.9749548,54.0337668,62.7141816,60.5105927
2019,65.8011826,65.1883963,63.9874747,66.1496518,65.5824667,56.7830178,61.7736331,60.5975271
2020,66.6545664,64.9856888,63.6852264,66.7849239,65.1076937,59.0045945,61.3661354,60.2651559
2021,65.0873011,63.0014116,61.3822494,66.6072561,64.6640239,49.480312,60.0797953,59.7131368
2022,65.6972109,62.7088976,59.14417,68.2597714,64.71526,39.6194196,58.6701665,59.4078069
2023,66.377359,62.6204374,62.4795508,67.4349695,64.1609675,48.2010756,58.5923796,59.0320824
